Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,010300115,62.84,17.0,897.0,$9948.84,Non-binary,,1.0,1.0,8.0,Carrier B,$5.33,Supplier 5,Kolkata,23.0,606.0,5.0,$73.61,Pending,2.73,Sea,B route,178.84
skincare,010300116,9.62,89.0,285.0,$3843.45,Male,59.0,,98.0,3.0,Carrier A,$7.66,,Kolkata,1.0,,6.0,$90.57,Pass,4.24,Rail,,115.41
haircare,010300117,74.45,99.0,319.0,,Female,61.0,19.0,57.0,4.0,Carrier C,$2.47,Supplier 3,Kolkata,2.0,345.0,14.0,$83.29,Pending,4.92,Sea,c,117.44
skincare,010300118,53.18,37.0,9.0,$1666.02,Unknown,96.0,12.0,14.0,7.0,Carrier C,$5.47,Supplier 4,Delhi,,217.0,20.0,$25.88,Fail,4.98,Sea,a,448.42
cosmetics,010300121,59.79,26.0,855.0,$8658.82,Non-binary,18.0,6.0,29.0,1.0,Carrier B,$6.14,Supplier 5,Mumbai,,706.0,25.0,$32.64,Pending,4.61,,,636.96
skincare,010300122,56.9,76.0,891.0,$3848.68,Male,,9.0,85.0,9.0,Carrier A,$6.11,Supplier 5,Chennai,7.0,884.0,11.0,$52.68,Fail,2.44,,c,296.26
haircare,010300123,89.47,40.0,981.0,$1846.16,Non-binary,79.0,4.0,60.0,9.0,Carrier A,$1.95,Supplier 4,Mumbai,12.0,264.0,14.0,$72.05,,4.47,Rail,route_B,507.91
cosmetics,010300124,25.89,13.0,343.0,$2676.88,,69.0,22.0,57.0,4.0,Carrier B,,,Kolkata,12.0,307.0,,$90.94,Pass,1.0,,,203.77
haircare,010300125,33.06,84.0,390.0,$3376.68,Female,29.0,7.0,91.0,6.0,Carrier A,$2.52,Supplier 3,Chennai,,890.0,17.0,$43.47,,4.23,Road,route_B,594.12
skincare,010300150,67.23,47.0,336.0,$5548.33,Female,92.0,6.0,22.0,,Carrier B,$2.94,Supplier 5,Chennai,,930.0,20.0,$17.8,Fail,3.09,Sea,B route,191.19
cosmetics,010300152,79.58,41.0,616.0,$7675.03,Unknown,,2.0,75.0,4.0,Carrier B,$2.89,Supplier 3,Kolkata,24.0,313.0,23.0,$31.89,,,Road,routeC,590.36
skincare,010300171,14.38,94.0,424.0,$3897.16,Unknown,18.0,9.0,19.0,4.0,Carrier A,$5.66,Supplier 3,Kolkata,3.0,859.0,2.0,$65.08,Fail,1.7,Air,route_B,353.17
haircare,010300172,37.69,49.0,958.0,$5095.97,Unknown,42.0,7.0,19.0,3.0,Carrier B,$5.6,Supplier 4,Kolkata,13.0,206.0,27.0,,Pending,1.89,Sea,routeA,
haircare,010300174,67.81,29.0,,$6931.41,Non-binary,91.0,3.0,7.0,4.0,Carrier C,$4.17,Supplier 4,Delhi,12.0,804.0,13.0,$21.45,Pending,3.7,Air,C,310.35
haircare,010300175,63.31,63.0,715.0,$4664.6,Female,67.0,24.0,61.0,1.0,Carrier C,$7.44,Supplier 2,Delhi,10.0,246.0,15.0,$73.07,Pending,2.09,Road,b,362.17
,010300180,66.82,32.0,141.0,$8917.75,Unknown,86.0,1.0,76.0,3.0,Carrier B,,Supplier 2,Mumbai,4.0,,15.0,$55.15,Pass,4.11,Sea,C route,
skincare,010300181,21.95,33.0,296.0,$9179.15,Unknown,18.0,23.0,50.0,7.0,Carrier C,$3.71,Supplier 3,Bangalore,16.0,836.0,4.0,$61.04,Fail,,Rail,B,379.62
cosmetics,010300201,94.36,6.0,543.0,,,41.0,,73.0,8.0,Carrier C,$6.46,Supplier 3,Kolkata,,727.0,14.0,$30.22,Pass,0.05,Air,A,427.35
haircare,010300210,86.2,79.0,454.0,,Male,7.0,8.0,81.0,2.0,Carrier A,$2.76,Supplier 1,Mumbai,22.0,101.0,14.0,$70.46,Fail,4.88,,route_B,428.24
cosmetics,010400038,70.6,4.0,59.0,$7345.07,Non-binary,75.0,6.0,72.0,5.0,Carrier B,$8.69,Supplier 3,Bangalore,25.0,376.0,8.0,,Pending,1.58,Sea,,477.33
haircare,010400039,45.9,95.0,930.0,$5200.06,Non-binary,63.0,12.0,1.0,1.0,Carrier A,$1.09,Supplier 4,Delhi,10.0,240.0,4.0,$78.03,Pass,1.26,Road,C route,224.59
haircare,010400041,54.16,51.0,30.0,$4435.0,Unknown,80.0,15.0,77.0,5.0,Carrier A,$2.07,Supplier 4,Chennai,,451.0,29.0,$97.42,Pass,4.07,Rail,b,415.34
skincare,010400045,56.8,15.0,301.0,$1840.06,Non-binary,54.0,12.0,7.0,8.0,Carrier B,$5.34,,Bangalore,22.0,451.0,16.0,$49.52,Pending,3.38,Rail,route_A,333.67
haircare,010400085,24.32,97.0,,$3443.36,Unknown,25.0,2.0,,6.0,Carrier A,$2.91,Supplier 2,Bangalore,15.0,794.0,12.0,$63.0,Pending,1.51,Road,route_A,730.22
skincare,010400086,55.49,47.0,63.0,$9057.37,Female,4.0,2.0,19.0,,Carrier C,$9.67,Supplier 4,Bangalore,18.0,339.0,23.0,$23.71,Pass,2.38,Sea,routeB,704.19
,010400088,83.76,84.0,716.0,$6509.79,Female,41.0,,50.0,6.0,Carrier A,$1.59,Supplier 1,Kolkata,2.0,868.0,19.0,$73.72,Pending,3.5,Sea,b,655.0
haircare,010400089,72.45,97.0,843.0,$8882.04,Male,34.0,5.0,1.0,5.0,Carrier C,,Supplier 5,Mumbai,3.0,320.0,18.0,$59.69,Fail,1.98,Rail,route_B,433.57
haircare,010400090,14.48,18.0,253.0,$2767.44,Non-binary,76.0,5.0,52.0,1.0,Carrier C,$6.8,,,23.0,741.0,13.0,$55.28,Pending,3.99,Air,A,940.69
cosmetics,010400091,38.02,39.0,827.0,$3612.56,Unknown,84.0,6.0,87.0,7.0,Carrier C,$5.94,Supplier 1,Delhi,1.0,719.0,10.0,$73.17,Fail,3.06,Road,routeC,664.21
skincare,010400092,26.86,74.0,902.0,$4606.78,Female,85.0,18.0,27.0,9.0,Carrier C,$4.58,Supplier 1,Mumbai,21.0,594.0,12.0,$64.53,Fail,4.83,Road,route_A,453.43
,010400094,34.25,3.0,370.0,$9232.08,Female,90.0,16.0,68.0,8.0,Carrier C,$6.64,Supplier 5,Kolkata,6.0,150.0,3.0,$23.86,Pass,0.58,Sea,B,990.28
cosmetics,010400095,80.36,98.0,767.0,$5281.8,Female,9.0,2.0,63.0,8.0,Carrier B,$9.87,Supplier 4,Chennai,24.0,522.0,,$30.26,Pass,0.92,Road,,585.37
,010400096,96.48,25.0,699.0,$4322.2,Unknown,15.0,7.0,25.0,4.0,Carrier B,$5.46,Supplier 1,Bangalore,16.0,992.0,23.0,$96.1,Pass,3.49,Sea,route_C,
cosmetics,010400097,6.41,92.0,759.0,$9932.56,,63.0,6.0,63.0,2.0,,$7.32,,,7.0,,9.0,$43.21,Fail,,,route_A,542.37
skincare,010400098,46.51,53.0,266.0,$5620.9,Male,26.0,2.0,69.0,7.0,Carrier A,$3.17,Supplier 2,Kolkata,5.0,714.0,20.0,,Pass,4.71,Air,,454.6
haircare,010400099,,48.0,322.0,$8023.22,Unknown,22.0,6.0,52.0,9.0,,$8.32,Supplier 4,Chennai,21.0,737.0,1.0,$17.29,Pending,,Sea,,686.46
haircare,010400109,54.38,85.0,935.0,$1945.97,Female,45.0,7.0,84.0,3.0,Carrier A,$6.42,Supplier 3,Bangalore,19.0,,16.0,$55.04,Fail,2.24,Sea,b,947.86
cosmetics,010400118,75.5,15.0,161.0,,Male,74.0,21.0,82.0,9.0,Carrier B,$1.29,Supplier 3,Bangalore,26.0,957.0,,$36.37,Pass,,Road,C,318.22
skincare,010400120,92.53,4.0,235.0,$3668.4,Non-binary,24.0,14.0,8.0,7.0,,$4.24,Supplier 3,,21.0,975.0,21.0,$29.56,Fail,4.64,Rail,c,536.26
haircare,010400121,32.65,27.0,694.0,$3838.75,Female,71.0,10.0,39.0,2.0,Carrier C,$5.56,Supplier 1,Chennai,28.0,,18.0,$42.62,Pending,1.1,Air,b,439.94
cosmetics,010400122,88.07,94.0,968.0,$2343.61,Female,96.0,26.0,47.0,1.0,Carrier C,$4.87,Supplier 4,Bangalore,11.0,221.0,7.0,$33.17,Pass,3.81,,A,726.5
cosmetics,010400130,17.88,11.0,500.0,$6153.88,Male,87.0,11.0,12.0,9.0,Carrier C,,Supplier 2,Delhi,6.0,728.0,21.0,$61.97,Pass,1.88,Road,A route,454.79
cosmetics,010400132,56.39,25.0,,$9562.8,Unknown,50.0,22.0,98.0,1.0,Carrier C,$4.06,Supplier 2,Chennai,29.0,852.0,27.0,$10.53,Pending,1.07,Rail,c,155.65
cosmetics,010400133,40.07,58.0,418.0,$4336.73,Male,51.0,1.0,,5.0,Carrier A,,Supplier 1,Delhi,20.0,815.0,19.0,$14.67,Pass,0.86,Rail,A route,578.89
skincare,010400134,84.47,30.0,,$7720.66,Male,83.0,15.0,12.0,4.0,Carrier B,$3.55,Supplier 3,Bangalore,14.0,344.0,26.0,$20.47,Fail,3.83,Sea,B route,104.6
cosmetics,010400137,96.44,35.0,635.0,$2812.21,Unknown,76.0,13.0,41.0,3.0,Carrier A,$9.2,Supplier 4,Delhi,7.0,934.0,17.0,,Pending,3.38,Rail,b,794.01
,010400138,5.18,92.0,671.0,$6141.35,Female,52.0,13.0,26.0,5.0,,$6.84,Supplier 2,Delhi,23.0,875.0,29.0,$52.52,Fail,4.02,,route_C,933.66
skincare,010400148,2.4,94.0,,$6822.43,Unknown,16.0,14.0,51.0,2.0,Carrier B,,Supplier 5,Kolkata,13.0,866.0,28.0,$41.82,Pending,0.23,Road,C,453.84
haircare,010400152,45.01,,972.0,$7894.36,,57.0,,93.0,1.0,Carrier B,$3.73,Supplier 4,Chennai,17.0,439.0,7.0,$47.29,Pending,1.87,Road,route_B,312.68
cosmetics,010400155,34.8,44.0,994.0,$7016.27,,,15.0,12.0,3.0,Carrier C,$3.66,Supplier 4,Kolkata,17.0,,21.0,$39.8,Pass,3.16,Air,C,258.53
haircare,010420011,68.18,25.0,133.0,$3573.79,,70.0,12.0,53.0,2.0,Carrier B,$5.68,Supplier 3,Bangalore,10.0,964.0,10.0,$35.14,Pass,,Air,C,275.11
cosmetics,010420015,63.65,6.0,235.0,$4782.72,Female,71.0,12.0,52.0,9.0,Carrier C,,Supplier 4,Kolkata,1.0,,5.0,$61.07,Pass,2.07,,B route,525.43
skincare,010420017,83.79,96.0,304.0,,Male,47.0,4.0,25.0,7.0,Carrier B,$1.67,Supplier 2,Delhi,13.0,109.0,29.0,$89.52,Fail,2.96,Rail,c,986.38
cosmetics,010420018,20.19,74.0,,$6366.39,Unknown,1.0,9.0,45.0,7.0,Carrier B,$6.35,Supplier 1,Mumbai,13.0,492.0,,$95.32,Fail,0.59,Sea,C route,787.02
haircare,010500064,34.38,99.0,359.0,$1343.32,Unknown,49.0,11.0,53.0,5.0,Carrier B,$1.57,Supplier 4,Kolkata,,186.0,6.0,$11.08,Fail,0.94,,B route,779.58
cosmetics,010500070,51.92,,,$4210.44,Non-binary,94.0,13.0,17.0,8.0,,$8.88,Supplier 4,Chennai,22.0,457.0,,,Fail,1.05,Road,route_A,483.75
cosmetics,010500071,,20.0,977.0,$6278.61,Male,31.0,10.0,95.0,1.0,Carrier C,$1.58,Supplier 3,Bangalore,6.0,272.0,16.0,$84.54,Pending,2.64,,route_B,148.18
haircare,010500072,27.95,16.0,954.0,$3234.27,Female,6.0,12.0,21.0,,Carrier A,$6.68,Supplier 2,,4.0,158.0,23.0,$50.75,Pending,2.08,Sea,route_B,609.79
cosmetics,010500081,35.74,56.0,789.0,$9618.23,Male,94.0,16.0,18.0,6.0,Carrier A,$7.95,Supplier 5,Delhi,23.0,,28.0,$68.93,Fail,,Air,route_B,240.86
skincare,010500140,80.3,71.0,,$6136.37,Unknown,60.0,4.0,96.0,1.0,Carrier A,$1.33,Supplier 1,Bangalore,24.0,593.0,8.0,$48.63,Fail,,Rail,A route,770.0
cosmetics,010500141,24.02,67.0,700.0,$3988.28,Unknown,22.0,,40.0,1.0,Carrier C,$3.3,Supplier 1,Delhi,15.0,860.0,3.0,$46.34,Pass,3.23,,route_B,270.99
skincare,010500142,,40.0,455.0,$6016.95,Male,20.0,23.0,29.0,6.0,Carrier C,$4.02,,Delhi,15.0,632.0,7.0,,Pending,0.95,Air,routeC,473.21
skincare,010500143,84.16,54.0,774.0,$3861.01,Unknown,62.0,13.0,63.0,9.0,Carrier C,$6.33,Supplier 4,Delhi,10.0,563.0,8.0,$57.55,Pending,4.48,Sea,routeB,466.56
cosmetics,010500145,87.0,92.0,241.0,$9350.25,Male,1.0,10.0,1.0,2.0,Carrier B,$4.51,,Delhi,,993.0,15.0,$51.97,Fail,0.86,Road,c,952.91
haircare,010500146,58.98,32.0,689.0,$6688.54,Unknown,72.0,20.0,36.0,4.0,Carrier A,$1.4,Supplier 5,Kolkata,20.0,361.0,29.0,$42.69,Pass,4.99,Sea,,492.54
haircare,010500147,8.87,40.0,876.0,$2281.75,Non-binary,77.0,22.0,22.0,1.0,Carrier B,$4.1,Supplier 3,Kolkata,21.0,421.0,3.0,$42.11,Pending,0.33,Sea,,
skincare,010500148,99.06,4.0,543.0,$5856.36,Non-binary,85.0,8.0,92.0,6.0,Carrier A,$1.73,Supplier 1,Chennai,2.0,163.0,22.0,$28.13,Pass,,,,
haircare,010500149,67.76,15.0,807.0,$3438.94,Unknown,52.0,21.0,23.0,3.0,Carrier A,$1.81,Supplier 1,Chennai,16.0,867.0,4.0,$66.73,Pending,2.56,Road,b,480.94
cosmetics,010500150,64.83,45.0,594.0,$4650.86,Male,15.0,7.0,10.0,7.0,Carrier A,$6.98,Supplier 2,Chennai,18.0,714.0,8.0,$75.01,Pass,1.39,Rail,A,183.3
skincare,010500151,38.45,83.0,,$4079.23,Male,74.0,18.0,8.0,6.0,Carrier C,$5.58,,Mumbai,24.0,861.0,5.0,$77.75,Fail,1.55,Sea,C route,913.18
skincare,010500152,52.46,69.0,793.0,$1555.63,Male,83.0,1.0,92.0,1.0,Carrier B,$4.98,Supplier 4,Chennai,12.0,,28.0,,Pending,0.95,,routeB,997.85
haircare,010500170,79.33,94.0,313.0,$7765.13,Non-binary,38.0,12.0,98.0,8.0,Carrier C,$5.08,Supplier 1,Kolkata,11.0,212.0,23.0,$58.3,Pass,2.71,Road,b,237.06
skincare,010500173,4.77,4.0,852.0,$2161.34,Female,81.0,24.0,13.0,4.0,Carrier C,$7.41,Supplier 5,Bangalore,23.0,134.0,5.0,$63.81,Pass,,Sea,A route,421.14
skincare,010500174,53.3,47.0,99.0,$4920.31,Female,49.0,2.0,23.0,7.0,Carrier C,,Supplier 2,Chennai,1.0,889.0,28.0,$61.9,Pass,2.59,Air,a,580.6
haircare,010500175,3.78,31.0,907.0,$3652.27,Unknown,12.0,14.0,94.0,6.0,Carrier C,$5.3,Supplier 5,Kolkata,13.0,285.0,8.0,,Pending,4.56,Sea,,111.11
haircare,010500177,,92.0,125.0,$7795.45,Male,,,19.0,7.0,,$2.09,Supplier 4,Delhi,19.0,323.0,13.0,$22.09,Pass,2.08,Rail,c,629.77
skincare,010500178,99.42,51.0,303.0,$4100.15,Female,39.0,13.0,51.0,5.0,,$3.13,Supplier 1,Mumbai,27.0,114.0,16.0,$24.14,Fail,2.22,Sea,route_A,459.2
cosmetics,010500180,34.6,23.0,632.0,$9668.33,Male,67.0,20.0,,8.0,Carrier B,$5.99,Supplier 1,Kolkata,7.0,812.0,26.0,$19.05,Fail,1.91,Sea,A route,402.15
skincare,010500181,82.6,29.0,308.0,$9818.79,Female,36.0,13.0,22.0,,Carrier B,$7.18,Supplier 5,Mumbai,,649.0,13.0,$18.72,Pass,0.31,Sea,route_A,
skincare,010500182,16.18,94.0,787.0,$5886.4,Female,39.0,13.0,97.0,8.0,Carrier B,$6.19,,Kolkata,13.0,319.0,5.0,$29.43,,1.09,Road,a,406.62
skincare,010500183,96.7,63.0,819.0,,Unknown,29.0,20.0,58.0,4.0,Carrier A,$3.39,Supplier 1,Bangalore,9.0,813.0,20.0,$42.94,Fail,0.3,Sea,a,170.71
cosmetics,010500184,57.24,43.0,46.0,$6583.69,Unknown,75.0,22.0,92.0,1.0,Carrier A,$8.49,Supplier 5,Delhi,8.0,358.0,9.0,$49.3,Pass,1.26,Air,routeA,518.72
haircare,010500187,32.72,50.0,83.0,$7097.8,Unknown,86.0,16.0,11.0,9.0,Carrier B,$7.68,Supplier 4,Delhi,26.0,900.0,27.0,$49.62,Fail,3.62,Sea,routeB,242.48
cosmetics,010500188,17.56,24.0,513.0,$9412.91,Female,30.0,3.0,16.0,7.0,,$8.76,Supplier 2,Kolkata,27.0,400.0,19.0,$26.75,Fail,3.09,Road,C route,259.25
cosmetics,010500200,10.96,10.0,,$4445.71,Non-binary,96.0,20.0,27.0,,,$6.79,Supplier 1,Kolkata,14.0,558.0,9.0,$55.57,Fail,3.11,Air,b,805.3
skincare,010500201,79.92,30.0,306.0,$5540.2,Female,,1.0,72.0,8.0,Carrier B,$9.4,Supplier 2,Kolkata,10.0,639.0,19.0,$35.66,Fail,2.16,Sea,A,126.07
cosmetics,010500202,6.71,87.0,215.0,$1936.89,Male,32.0,8.0,58.0,1.0,Carrier C,,Supplier 1,Kolkata,13.0,555.0,19.0,$43.05,Fail,3.18,Road,b,550.92
cosmetics,010500231,31.41,39.0,740.0,$3846.73,Unknown,28.0,3.0,35.0,3.0,,$9.09,Supplier 4,Chennai,13.0,107.0,4.0,$67.17,Pending,3.48,,routeB,606.2
skincare,010500232,56.86,60.0,466.0,$2440.75,Female,79.0,4.0,89.0,1.0,Carrier B,$1.41,Supplier 4,Bangalore,11.0,781.0,17.0,,Pass,1.55,Sea,route_B,264.92
cosmetics,010500233,75.97,85.0,744.0,$9533.32,,41.0,,,7.0,Carrier B,$6.26,,Delhi,1.0,439.0,18.0,$53.95,Fail,4.37,Air,b,498.95
haircare,010500234,72.75,,712.0,,Male,55.0,20.0,70.0,6.0,Carrier C,$2.99,Supplier 1,Kolkata,19.0,222.0,29.0,$41.71,Pass,3.58,Air,,773.41
cosmetics,010500239,1.62,1.0,705.0,$1348.13,Unknown,90.0,,76.0,,Carrier B,$3.05,Supplier 3,Chennai,17.0,381.0,2.0,$21.34,Pending,2.2,Road,route_C,368.57
cosmetics,010500241,93.98,74.0,907.0,$7318.35,Female,53.0,28.0,91.0,5.0,Carrier A,,Supplier 5,Bangalore,,175.0,19.0,$47.14,,4.09,Air,,915.86
skincare,010500261,12.64,29.0,741.0,$4181.97,Unknown,52.0,22.0,,1.0,Carrier A,$8.51,Supplier 1,Kolkata,12.0,467.0,6.0,$92.26,Pass,3.45,Road,a,306.32
skincare,010500273,96.15,31.0,,$7040.99,Non-binary,14.0,1.0,57.0,,Carrier C,$4.03,Supplier 2,Kolkata,23.0,140.0,28.0,,Pending,2.13,Air,routeC,965.16
cosmetics,010500277,9.32,94.0,338.0,$3252.27,Female,33.0,2.0,93.0,9.0,Carrier B,$8.23,Supplier 1,Mumbai,10.0,542.0,27.0,$62.12,,3.91,Air,route_C,346.2
cosmetics,010600234,21.73,75.0,969.0,$2298.41,Non-binary,32.0,9.0,85.0,7.0,Carrier C,$8.26,Supplier 4,Mumbai,22.0,791.0,21.0,$66.74,Fail,4.75,Air,C,828.24
haircare,010600239,68.07,43.0,891.0,$2541.92,Female,,,16.0,,Carrier B,$7.47,Supplier 3,Bangalore,27.0,210.0,28.0,$41.1,Fail,4.76,Sea,B route,801.68
skincare,060700030,59.97,,,$2709.2,Male,38.0,16.0,,1.0,Carrier B,$3.59,Supplier 4,Mumbai,29.0,992.0,4.0,$74.98,Fail,1.87,Rail,C route,586.87
skincare,060700031,36.04,22.0,935.0,$7884.53,Non-binary,33.0,6.0,72.0,4.0,Carrier C,$7.94,Supplier 3,Delhi,27.0,699.0,12.0,$40.97,Pass,,Rail,route_A,245.86
haircare,060700032,45.28,25.0,162.0,$7114.8,Non-binary,76.0,26.0,56.0,7.0,Carrier C,$1.17,Supplier 2,Kolkata,15.0,301.0,27.0,$88.19,Pass,0.58,Air,C,651.08
skincare,060700033,,25.0,993.0,$4116.68,,8.0,12.0,51.0,9.0,Carrier C,$6.14,Supplier 1,Chennai,26.0,230.0,25.0,$14.14,Pending,4.67,,routeB,201.14
haircare,060700034,60.75,64.0,,$6240.66,Non-binary,10.0,24.0,82.0,9.0,Carrier C,$8.21,Supplier 1,Mumbai,21.0,,24.0,$28.06,Fail,1.22,Sea,routeB,806.61
skincare,060700035,53.65,25.0,395.0,$8470.33,Unknown,92.0,22.0,66.0,6.0,Carrier A,,Supplier 4,Kolkata,13.0,637.0,12.0,$12.06,Pending,4.34,Road,C,957.86
cosmetics,060700064,84.93,99.0,717.0,$5245.8,Non-binary,91.0,20.0,54.0,6.0,Carrier C,,Supplier 3,,20.0,,7.0,$22.31,Pass,3.99,Road,C,
cosmetics,060700065,69.98,50.0,65.0,$8984.0,Female,22.0,26.0,19.0,2.0,Carrier B,$1.7,Supplier 1,Kolkata,17.0,966.0,23.0,$74.17,Pending,1.75,Air,C,251.51
haircare,060700066,53.38,99.0,617.0,,Female,56.0,23.0,66.0,5.0,Carrier C,$2.12,Supplier 4,Mumbai,24.0,,12.0,$30.21,Fail,1.71,Road,A,208.3
skincare,060700067,45.8,35.0,722.0,$9525.94,Non-binary,17.0,12.0,,,Carrier B,$7.95,Supplier 3,Bangalore,23.0,987.0,22.0,$15.02,Pending,1.11,Sea,route_A,969.12
skincare,060700068,84.65,47.0,243.0,$3050.12,Unknown,98.0,6.0,26.0,1.0,Carrier A,$7.67,Supplier 5,Delhi,,223.0,1.0,$58.03,Pass,3.17,Sea,c,
skincare,060700069,23.36,44.0,271.0,$2863.59,Unknown,63.0,24.0,41.0,6.0,Carrier C,$9.35,Supplier 4,Bangalore,22.0,129.0,17.0,$74.0,Pass,2.53,Road,A route,956.81
haircare,8013161,25.74,81.0,,$9180.08,Male,22.0,2.0,37.0,5.0,Carrier A,$7.8,Supplier 1,Delhi,28.0,879.0,24.0,$50.38,Fail,3.84,,c,337.99
,8507203,35.73,54.0,315.0,$5211.48,Female,39.0,9.0,,4.0,,$9.4,Supplier 5,Mumbai,20.0,146.0,10.0,$37.08,Pass,0.12,Rail,a,279.6
skincare,032414FX,78.79,73.0,489.0,$9247.45,Non-binary,86.0,17.0,52.0,3.0,Carrier C,$7.15,Supplier 3,Delhi,23.0,795.0,,$17.61,Fail,4.83,Rail,routeC,121.31
haircare,041101FX,9.97,11.0,646.0,$2167.59,,79.0,21.0,3.0,4.0,Carrier B,$3.89,Supplier 2,Chennai,3.0,780.0,,$42.97,,0.44,Rail,route_A,896.82
cosmetics,041102FX,4.62,12.0,886.0,$7594.49,Unknown,59.0,6.0,82.0,5.0,,$5.91,Supplier 2,Bangalore,26.0,793.0,4.0,,,,Rail,b,246.9
skincare,041103FX,32.59,24.0,89.0,$2305.16,Female,43.0,27.0,5.0,4.0,Carrier A,$4.69,Supplier 5,Chennai,27.0,,11.0,$14.91,Fail,2.8,Sea,routeB,650.09
,112114FX,90.93,27.0,87.0,$3325.13,Male,62.0,29.0,3.0,5.0,Carrier B,$8.81,Supplier 3,Mumbai,,518.0,20.0,$69.9,Pending,2.14,Sea,a,973.7
haircare,3213124,39.61,22.0,99.0,$7379.78,Male,90.0,21.0,71.0,3.0,Carrier B,$9.94,Supplier 4,Mumbai,23.0,237.0,25.0,$82.27,Pending,2.12,Road,route_B,847.63
skincare,101300231,76.56,6.0,825.0,$6311.41,Female,84.0,5.0,45.0,6.0,Carrier C,$3.46,Supplier 5,Mumbai,15.0,997.0,1.0,$92.61,Pending,1.01,Rail,route_B,354.48
haircare,101300213,43.8,69.0,862.0,$2705.66,Male,20.0,21.0,39.0,,Carrier C,$5.06,Supplier 1,Mumbai,7.0,581.0,24.0,$76.7,Pass,4.1,Road,,997.52
cosmetics,101300214,57.85,96.0,852.0,$7756.28,,95.0,17.0,19.0,9.0,Carrier C,$5.02,Supplier 2,Delhi,24.0,803.0,22.0,,Pass,1.66,Sea,c,554.39
haircare,19368605,37.42,61.0,170.0,$1069.39,,19.0,2.0,95.0,1.0,Carrier A,$5.65,Supplier 1,Chennai,,957.0,21.0,$93.86,Fail,0.71,Road,b,644.87
haircare,19368705,12.72,57.0,563.0,$2767.75,Unknown,54.0,7.0,85.0,9.0,Carrier B,$1.2,Supplier 2,Mumbai,24.0,,13.0,$82.35,Fail,1.45,Air,route_C,113.32
cosmetics,19368805,,51.0,201.0,$8694.67,Male,92.0,4.0,10.0,7.0,,$7.1,,Delhi,20.0,,5.0,$35.81,Pass,2.1,Air,b,275.6
haircare,19368905,44.18,9.0,467.0,$8600.1,Female,98.0,8.0,32.0,2.0,Carrier A,,Supplier 2,Mumbai,26.0,164.0,1.0,$36.02,Fail,4.47,Sea,routeB,910.56
cosmetics,20557305,39.91,31.0,575.0,,Unknown,3.0,27.0,35.0,4.0,Carrier A,$2.46,Supplier 2,Mumbai,,945.0,,$29.01,Pending,4.2,Sea,routeC,429.7
skincare,21224201,65.69,80.0,913.0,$1317.43,Female,84.0,16.0,,5.0,Carrier C,$8.03,Supplier 4,Chennai,19.0,,28.0,$75.75,Pass,3.31,Rail,routeA,523.71
