Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
cosmetics,1VBA0580GE,40.33,84.0,604.0,$4874.86,Unknown,3.0,11.0,99.0,2.0,Carrier A,$8.4,Supplier 2,Delhi,22.0,617.0,4.0,$59.53,Fail,,,route_A,968.9
cosmetics,1VBF0760GE,43.25,85.0,947.0,$8901.86,Female,99.0,10.0,13.0,7.0,Carrier C,$7.92,,Kolkata,19.0,582.0,,,Pass,4.82,Road,,491.98
skincare,1VBF0810GE,80.18,44.0,687.0,$6449.54,Male,97.0,20.0,10.0,7.0,Carrier C,$6.37,Supplier 4,Delhi,13.0,306.0,17.0,$65.34,Pending,0.61,Air,b,603.41
haircare,1VBG0785GE,35.59,32.0,,$3224.18,Female,,13.0,75.0,4.0,Carrier B,$4.03,Supplier 3,Bangalore,23.0,768.0,19.0,$97.95,Pass,1.27,Road,route_C,665.78
haircare,1VBS0070GE,47.35,51.0,,,Unknown,19.0,9.0,82.0,9.0,Carrier B,$3.36,Supplier 4,Mumbai,14.0,678.0,3.0,$20.02,Pending,4.07,Rail,,941.35
skincare,1VMG0080GE,62.87,46.0,903.0,$1755.28,Female,18.0,21.0,98.0,8.0,Carrier C,$2.1,Supplier 5,Delhi,20.0,486.0,29.0,$29.09,Fail,3.09,Rail,C route,331.07
haircare,1VMP0106GE,38.39,21.0,365.0,$4001.16,,64.0,14.0,41.0,,Carrier B,$5.59,Supplier 4,Chennai,19.0,511.0,14.0,$52.58,Fail,4.19,Rail,routeB,650.12
skincare,1VMG0140GE,83.82,99.0,163.0,$7097.87,Non-binary,88.0,18.0,50.0,2.0,Carrier A,$6.27,Supplier 2,Chennai,23.0,941.0,17.0,$97.18,Pending,2.58,Road,route_B,392.25
haircare,1VRH0010GE,59.16,32.0,48.0,$1649.0,,35.0,15.0,87.0,2.0,Carrier B,$4.23,Supplier 2,Chennai,27.0,469.0,13.0,$79.46,Fail,1.88,Rail,route_A,295.24
haircare,1VMP0116GE,30.11,94.0,511.0,$2848.61,Female,62.0,,71.0,8.0,Carrier B,$5.28,Supplier 4,Mumbai,27.0,452.0,9.0,$90.84,Pass,,Sea,A route,176.43
cosmetics,1VRH0020GE,71.69,39.0,329.0,$4432.97,Male,1.0,24.0,59.0,1.0,Carrier C,$4.27,Supplier 5,Bangalore,,,27.0,$40.03,Fail,0.18,Air,C route,658.64
cosmetics,1VRD0120GE,53.24,12.0,840.0,$9838.45,Non-binary,25.0,,39.0,4.0,Carrier B,$6.77,Supplier 1,Kolkata,4.0,,1.0,$99.28,Fail,,Rail,b,893.88
haircare,2VRA0180GE,,47.0,116.0,$8063.76,Female,45.0,8.0,3.0,5.0,Carrier B,$9.11,Supplier 2,Bangalore,12.0,388.0,25.0,$19.25,Fail,1.15,Rail,C route,416.25
haircare,1VMG0060GE,48.63,18.0,941.0,$7601.38,Female,49.0,28.0,76.0,,Carrier B,$2.48,Supplier 4,Mumbai,23.0,239.0,17.0,$14.77,Fail,4.24,Air,routeC,597.4
cosmetics,2VRP0040GE,50.2,21.0,849.0,,,98.0,3.0,7.0,7.0,,$4.43,Supplier 4,Chennai,27.0,399.0,16.0,$87.0,Pass,0.7,Air,C,677.92
cosmetics,4VBA1458GE,76.77,13.0,337.0,$8028.96,Unknown,89.0,15.0,49.0,8.0,Carrier B,$2.27,Supplier 4,Bangalore,14.0,112.0,18.0,$93.45,Pending,2.9,Air,,473.19
cosmetics,4VBA1461GE,11.2,21.0,881.0,$8067.42,Female,16.0,16.0,26.0,9.0,Carrier A,$6.62,Supplier 1,Kolkata,2.0,763.0,2.0,$18.15,Fail,,,routeB,913.01
skincare,1MES0036GE,34.1,8.0,737.0,$6409.92,Unknown,98.0,4.0,,7.0,Carrier A,$7.56,Supplier 3,Chennai,1.0,527.0,14.0,$20.21,,2.37,,c,426.48
haircare,1MES0008GE,8.47,46.0,864.0,$9913.26,Unknown,93.0,21.0,48.0,5.0,Carrier A,$9.39,Supplier 5,Kolkata,28.0,924.0,22.0,$12.99,Pass,3.73,Rail,B route,212.51
cosmetics,1MES0038GE,75.57,7.0,840.0,$3927.29,Non-binary,19.0,6.0,79.0,5.0,Carrier A,$3.51,Supplier 3,Delhi,18.0,963.0,23.0,,Pass,4.02,Air,B route,229.62
haircare,1MES0040GE,27.96,23.0,147.0,$9471.45,Unknown,23.0,1.0,2.0,6.0,Carrier C,$9.55,Supplier 5,Kolkata,20.0,,27.0,$28.85,Pass,3.68,Rail,C,
skincare,1VAI0001GE,89.85,96.0,575.0,$9232.58,Male,83.0,4.0,71.0,5.0,Carrier A,$1.57,Supplier 5,Chennai,8.0,,17.0,$97.31,Fail,,Rail,routeC,989.21
skincare,1MES0042GE,53.13,75.0,806.0,$1103.33,Non-binary,25.0,11.0,32.0,9.0,Carrier B,$6.43,Supplier 4,Delhi,,584.0,3.0,$70.11,Pending,2.23,Rail,A,
cosmetics,1VBA0720GE,80.27,86.0,323.0,$5051.05,Non-binary,16.0,12.0,4.0,,Carrier A,,Supplier 2,Chennai,26.0,987.0,2.0,$80.07,Pass,0.87,Road,routeB,
skincare,1VCT0150GE,97.91,22.0,443.0,$9793.94,Non-binary,54.0,26.0,20.0,3.0,Carrier B,$9.04,Supplier 4,Chennai,6.0,455.0,8.0,$79.85,Pass,0.24,Air,c,533.99
haircare,1VBG0520GE,,89.0,837.0,$1928.09,Female,73.0,29.0,,7.0,Carrier A,$5.77,Supplier 1,Delhi,22.0,248.0,25.0,$58.16,Pass,1.23,Rail,C,738.58
cosmetics,1VCT0420GE,86.83,22.0,13.0,,Female,1.0,5.0,32.0,7.0,Carrier C,$7.02,Supplier 5,Kolkata,13.0,,29.0,$81.77,Pending,,Road,b,651.16
haircare,1VGI0040GE,41.39,92.0,943.0,$9810.62,Unknown,42.0,23.0,28.0,6.0,Carrier A,$8.48,,Mumbai,9.0,815.0,2.0,$63.62,Fail,2.79,Sea,c,956.0
haircare,1VMP0100GE,55.62,29.0,494.0,$5999.46,,19.0,29.0,77.0,3.0,Carrier A,$2.35,Supplier 5,Mumbai,9.0,406.0,2.0,$38.31,Fail,0.92,Sea,B,836.0
skincare,1VRG0180GE,26.13,13.0,701.0,,Non-binary,97.0,21.0,1.0,7.0,Carrier C,$1.35,Supplier 5,Mumbai,20.0,,26.0,$60.5,,0.19,Rail,c,882.07
skincare,1VRG0020GE,20.42,,287.0,$6239.65,Male,34.0,16.0,60.0,5.0,Carrier A,$8.91,Supplier 4,Mumbai,9.0,159.0,9.0,$58.02,Pass,0.18,,routeB,587.5
skincare,1VRH0080GE,51.05,2.0,720.0,$2839.97,Unknown,80.0,13.0,56.0,7.0,Carrier B,$3.83,Supplier 2,Bangalore,15.0,534.0,20.0,$84.11,Fail,4.16,Air,C route,394.55
skincare,1VRH0090GE,59.91,29.0,114.0,$5677.34,Male,55.0,13.0,35.0,2.0,Carrier A,$2.16,Supplier 2,Mumbai,13.0,120.0,21.0,$98.36,Pass,2.96,Air,routeC,731.56
skincare,1VRH0070GE,34.59,85.0,480.0,$1666.38,Unknown,18.0,17.0,30.0,6.0,Carrier A,$5.22,Supplier 5,Delhi,,974.0,29.0,$46.99,Pending,1.79,Rail,routeA,495.15
cosmetics,1VRT0130GE,57.37,79.0,22.0,$6449.34,Unknown,,27.0,54.0,8.0,,$6.38,Supplier 2,Mumbai,16.0,481.0,27.0,$78.71,Pending,4.47,Road,B,358.98
haircare,1VRT0420GE,88.86,52.0,349.0,$5651.11,Female,89.0,7.0,36.0,1.0,Carrier C,$1.28,Supplier 2,Chennai,2.0,344.0,25.0,$18.98,Fail,0.35,Rail,A route,
haircare,2FIB0060GE,56.12,27.0,726.0,,,45.0,8.0,,4.0,Carrier A,$3.47,Supplier 4,Mumbai,26.0,172.0,6.0,$79.91,Pass,4.9,Air,routeC,575.09
haircare,1VRT0450GE,72.36,50.0,683.0,$6676.3,Male,6.0,13.0,89.0,1.0,Carrier A,$1.3,Supplier 3,Kolkata,14.0,548.0,26.0,$43.43,Pass,3.08,Air,route_B,634.83
haircare,2VRA0160GE,80.73,95.0,835.0,$5946.46,,21.0,23.0,80.0,1.0,,$4.78,Supplier 1,Delhi,27.0,175.0,12.0,,Fail,0.92,Road,B route,611.91
skincare,1VRC0212GE,98.88,79.0,566.0,$7208.01,Non-binary,70.0,27.0,58.0,8.0,Carrier A,$9.06,Supplier 3,Delhi,6.0,,25.0,$42.69,Pending,3.4,Rail,route_C,204.89
haircare,2VRA0210GE,60.72,23.0,906.0,,Female,96.0,16.0,83.0,7.0,Carrier A,$9.84,Supplier 2,Bangalore,2.0,689.0,9.0,$64.96,Pending,3.82,Air,c,612.99
cosmetics,1VRG0160GE,80.88,88.0,810.0,$6358.24,,48.0,29.0,65.0,1.0,Carrier A,$6.73,,Chennai,8.0,489.0,7.0,$20.73,Pending,2.15,Rail,c,251.57
cosmetics,1VBG0835GE,,44.0,320.0,$2549.0,Male,39.0,4.0,69.0,2.0,Carrier A,$2.45,Supplier 1,Delhi,4.0,676.0,12.0,$93.16,Pending,,Air,C route,697.34
haircare,1MES0007GE,94.5,77.0,126.0,$9329.7,Female,31.0,8.0,51.0,4.0,Carrier B,,Supplier 1,Kolkata,21.0,441.0,26.0,$16.99,Pending,0.75,Sea,route_B,486.45
haircare,1MES0046GE,14.97,22.0,277.0,$1615.01,Female,10.0,16.0,22.0,1.0,Carrier B,$5.65,Supplier 5,Mumbai,24.0,389.0,25.0,$93.7,Fail,1.39,Sea,a,863.91
cosmetics,1VBA0670GE,,43.0,976.0,,Unknown,30.0,21.0,88.0,3.0,Carrier C,,Supplier 1,Delhi,14.0,667.0,5.0,$73.64,Fail,0.47,Sea,B route,800.44
cosmetics,1VBA2160GE,33.08,37.0,204.0,$7262.18,Male,18.0,10.0,53.0,8.0,Carrier A,$9.3,Supplier 5,,,430.0,16.0,$39.67,Fail,1.05,Air,routeB,751.94
,1VRT0430GE,9.61,61.0,194.0,$5122.2,,60.0,25.0,36.0,8.0,Carrier C,$7.82,Supplier 1,Mumbai,24.0,358.0,5.0,$45.17,Pending,1.19,Road,route_B,730.66
cosmetics,1VGT0020GE,63.69,97.0,681.0,$1828.86,Female,,12.0,68.0,8.0,Carrier C,$7.59,Supplier 3,Bangalore,28.0,,12.0,$76.67,Pending,4.59,Sea,B route,604.44
skincare,3STC0020GE,73.85,56.0,664.0,$5980.41,Male,73.0,12.0,36.0,6.0,,$7.38,Supplier 1,Delhi,14.0,801.0,24.0,$64.13,Fail,0.39,Air,routeC,155.0
skincare,1VBA2180GE,84.96,3.0,547.0,$6774.69,Female,,26.0,52.0,6.0,Carrier B,$2.8,Supplier 4,Delhi,,105.0,26.0,$70.45,Fail,2.14,Rail,routeA,689.94
skincare,1VNA0060GE,13.15,63.0,696.0,$7334.13,Male,15.0,5.0,53.0,5.0,Carrier B,$2.9,Supplier 5,Kolkata,16.0,105.0,20.0,,Pending,,,routeB,520.23
skincare,1VMP0180GE,87.77,19.0,286.0,$4359.34,,4.0,,82.0,9.0,Carrier A,$7.19,Supplier 1,Chennai,6.0,290.0,,$53.9,Pass,4.49,Road,routeB,522.6
skincare,2VST0060CB,64.65,23.0,57.0,$6072.94,Non-binary,63.0,1.0,50.0,4.0,Carrier A,$2.98,Supplier 5,,20.0,247.0,23.0,$99.09,Fail,4.99,Road,routeA,441.12
haircare,2VST0050CB,70.69,29.0,734.0,$5056.18,Non-binary,40.0,28.0,80.0,7.0,Carrier B,$4.95,Supplier 4,Chennai,1.0,504.0,7.0,$29.25,Pending,3.77,Road,C route,936.16
cosmetics,2VST0080CB,91.15,30.0,303.0,$7048.5,Unknown,9.0,9.0,41.0,1.0,Carrier A,$8.04,Supplier 1,Delhi,12.0,357.0,29.0,$47.61,Pending,4.85,Rail,route_B,324.51
skincare,2VST0010CB,62.85,39.0,163.0,$6252.01,Non-binary,,12.0,18.0,9.0,,$8.06,Supplier 1,Chennai,7.0,829.0,19.0,$36.26,Fail,3.94,Rail,c,384.94
cosmetics,2VST0030CB,34.25,25.0,19.0,$5731.81,,26.0,5.0,22.0,7.0,Carrier A,$5.08,Supplier 4,Mumbai,8.0,578.0,20.0,$78.86,Pass,4.82,Road,B route,966.74
cosmetics,2CNA0500CB,82.69,8.0,370.0,$3245.72,Female,4.0,22.0,66.0,9.0,Carrier B,$8.13,,Bangalore,9.0,189.0,23.0,$78.76,Pending,3.54,Road,b,829.14
skincare,2CNA0870CB,,58.0,264.0,,,81.0,20.0,21.0,7.0,Carrier C,$8.55,Supplier 4,Chennai,2.0,,11.0,$36.32,Fail,,Road,route_A,112.68
haircare,2CNA0700CB,4.39,16.0,794.0,$2566.74,Unknown,16.0,22.0,,2.0,Carrier C,,,Mumbai,17.0,963.0,27.0,$17.33,Pending,2.01,Rail,route_A,915.5
skincare,2VRS0008CB,83.23,72.0,113.0,$2053.59,Non-binary,,28.0,47.0,6.0,Carrier A,$3.06,Supplier 4,Kolkata,20.0,109.0,21.0,$11.03,Pending,3.23,Rail,C route,303.98
haircare,2VRS0004CB,,1.0,488.0,$5041.76,Male,99.0,24.0,39.0,4.0,Carrier B,$3.47,Supplier 5,Chennai,13.0,,12.0,$48.47,Pending,1.75,Air,b,735.34
cosmetics,2VRS0073CB,77.61,5.0,327.0,$6510.32,Male,52.0,3.0,29.0,3.0,,$3.83,Supplier 3,Bangalore,5.0,861.0,3.0,$46.93,Pending,1.37,Sea,route_C,597.77
haircare,2VRS0034CB,36.91,,542.0,$2917.77,Male,69.0,5.0,,2.0,Carrier B,$2.05,Supplier 1,Mumbai,10.0,937.0,17.0,$98.96,Pass,2.89,Rail,route_A,583.13
haircare,2VRS0033CB,86.25,65.0,647.0,$9451.51,Non-binary,5.0,2.0,90.0,6.0,Carrier A,$3.46,Supplier 1,Chennai,,250.0,7.0,$52.28,Fail,4.67,Road,A,746.13
haircare,2VRS0060CB,22.73,4.0,579.0,$1060.14,Non-binary,20.0,14.0,85.0,8.0,Carrier B,$2.89,Supplier 2,Kolkata,17.0,724.0,22.0,$33.08,Fail,0.17,Sea,routeA,286.46
cosmetics,2VRS0078CB,97.48,99.0,65.0,$7950.71,Non-binary,79.0,2.0,17.0,,Carrier B,$5.1,Supplier 3,,21.0,129.0,10.0,$90.21,Fail,3.85,Rail,a,243.12
cosmetics,2VRS0065CB,,96.0,292.0,$6626.84,Male,,13.0,80.0,9.0,Carrier C,$9.18,Supplier 4,Mumbai,,227.0,23.0,$54.2,Fail,3.61,Sea,a,686.72
,2VRS0077CB,12.31,64.0,25.0,$4361.99,Unknown,2.0,7.0,60.0,5.0,Carrier A,$1.94,Supplier 4,Chennai,3.0,177.0,15.0,$63.93,Fail,,Air,C route,361.52
,2VRS0079CB,57.01,98.0,549.0,$1454.4,,93.0,10.0,31.0,2.0,Carrier C,$7.48,Supplier 3,,28.0,520.0,2.0,$18.61,Pass,4.65,Rail,C route,976.56
skincare,2VRS0090CB,98.55,89.0,1.0,$6647.38,Non-binary,13.0,13.0,73.0,8.0,Carrier C,$7.19,Supplier 4,Delhi,15.0,,,$44.46,Pending,3.81,Road,A route,506.36
haircare,080200009,,10.0,911.0,$4470.52,Unknown,4.0,16.0,95.0,9.0,Carrier B,$1.86,Supplier 2,Mumbai,7.0,579.0,28.0,$94.98,Pending,2.6,Road,B route,200.44
skincare,080200001,19.03,21.0,549.0,$9426.4,Female,42.0,26.0,78.0,4.0,Carrier A,,Supplier 5,Mumbai,6.0,404.0,4.0,$63.06,,1.02,Air,b,
haircare,PKCBS35,48.99,46.0,141.0,$5877.91,Female,74.0,14.0,,6.0,Carrier B,$6.12,Supplier 1,Mumbai,4.0,645.0,18.0,,Pending,2.73,Air,route_B,375.54
skincare,060600010,51.73,91.0,744.0,$9456.86,Female,61.0,11.0,2.0,8.0,Carrier B,,Supplier 3,Mumbai,19.0,204.0,24.0,$66.31,Pending,3.83,Air,routeB,233.73
cosmetics,060600011,74.43,27.0,648.0,$2984.35,Unknown,95.0,10.0,48.0,9.0,Carrier B,$7.81,Supplier 1,Chennai,5.0,271.0,23.0,$91.94,Pending,4.48,Air,routeB,480.54
haircare,060800002,70.19,,901.0,$7531.53,Unknown,8.0,6.0,14.0,5.0,Carrier A,,Supplier 5,,3.0,598.0,1.0,$34.66,Fail,3.95,Air,route_A,967.8
haircare,060900005,40.85,41.0,188.0,$6555.24,Male,67.0,4.0,59.0,6.0,Carrier A,$7.24,Supplier 3,Kolkata,26.0,121.0,2.0,$55.46,Fail,0.98,Rail,C route,470.29
haircare,060600012,22.58,13.0,128.0,$7654.67,,63.0,21.0,97.0,4.0,Carrier B,$1.36,Supplier 5,Bangalore,25.0,,2.0,$96.28,Pass,3.0,Rail,routeA,412.6
haircare,060800001,64.86,9.0,201.0,$2932.01,Unknown,9.0,1.0,99.0,5.0,Carrier A,$8.55,,Mumbai,9.0,490.0,4.0,$25.52,Fail,1.66,Sea,route_B,500.06
skincare,060900007,42.75,36.0,127.0,$6984.95,Unknown,94.0,7.0,58.0,7.0,Carrier B,$5.03,Supplier 4,Chennai,6.0,716.0,3.0,$74.77,Pass,0.05,Air,route_B,110.9
haircare,060900009,14.1,86.0,257.0,$5482.36,Female,11.0,,58.0,9.0,Carrier A,$6.73,Supplier 4,Chennai,13.0,248.0,17.0,$65.3,Fail,1.0,Road,C,219.79
cosmetics,060900019,,90.0,676.0,$7685.42,,99.0,9.0,51.0,6.0,,$2.99,Supplier 5,Mumbai,27.0,371.0,28.0,$71.17,Pending,0.57,Road,A route,864.71
cosmetics,060900020,69.43,58.0,547.0,$3943.4,Male,42.0,,84.0,6.0,Carrier C,$7.09,Supplier 5,Chennai,22.0,887.0,,,Pass,4.21,Air,routeC,980.23
haircare,060900021,68.64,54.0,194.0,$9010.51,Non-binary,13.0,5.0,2.0,8.0,Carrier B,$7.95,Supplier 5,Mumbai,28.0,398.0,2.0,,Pass,1.29,Air,,242.15
cosmetics,060900022,82.44,12.0,703.0,$1758.71,Non-binary,36.0,19.0,41.0,4.0,Carrier C,$5.26,Supplier 1,Bangalore,20.0,271.0,16.0,$71.58,Pass,1.42,Air,B,581.97
haircare,060900023,53.44,81.0,104.0,$8264.7,Unknown,13.0,10.0,83.0,3.0,Carrier C,$6.56,Supplier 5,,4.0,,11.0,$29.4,Fail,4.8,Air,c,969.7
haircare,060900024,81.69,78.0,535.0,$8751.88,Male,12.0,11.0,82.0,7.0,Carrier B,$5.11,Supplier 4,Chennai,2.0,725.0,25.0,$47.77,Pass,1.9,Air,routeB,240.92
cosmetics,060900025,50.31,14.0,265.0,$8355.27,Non-binary,37.0,25.0,16.0,,Carrier B,$9.05,Supplier 2,Mumbai,26.0,886.0,13.0,$26.94,Fail,0.05,Road,A route,267.68
haircare,060900026,7.65,34.0,802.0,,Non-binary,74.0,15.0,4.0,2.0,,$5.48,Supplier 5,Mumbai,4.0,915.0,1.0,$10.75,,1.42,Sea,routeB,934.13
cosmetics,060900028,41.12,53.0,942.0,$4945.46,,73.0,,12.0,2.0,Carrier B,$8.58,Supplier 2,Chennai,8.0,306.0,25.0,$97.31,Fail,0.6,Air,B,735.12
skincare,060900030,50.25,20.0,974.0,$9966.36,Unknown,52.0,15.0,29.0,6.0,Carrier C,$8.21,Supplier 4,Kolkata,13.0,552.0,23.0,$48.85,Pass,0.51,Air,A route,236.77
haircare,060900027,72.3,75.0,384.0,,Non-binary,71.0,5.0,7.0,8.0,Carrier C,$4.69,Supplier 5,Mumbai,10.0,494.0,2.0,$97.24,Pending,0.39,Air,B route,454.14
skincare,060900029,11.55,16.0,260.0,,Female,,29.0,14.0,1.0,Carrier B,$3.07,Supplier 1,Chennai,18.0,853.0,2.0,$22.63,Pending,2.97,Rail,C,150.64
cosmetics,060900032,14.86,95.0,414.0,$7036.08,Non-binary,56.0,19.0,12.0,6.0,Carrier C,$4.65,Supplier 1,,9.0,400.0,21.0,,Pass,0.95,Road,c,
skincare,060900033,27.1,70.0,991.0,$7307.81,Female,60.0,22.0,99.0,2.0,Carrier A,$8.44,Supplier 2,Kolkata,1.0,807.0,29.0,$28.09,Fail,1.81,,b,800.11
,060900034,27.38,56.0,358.0,$2836.22,Unknown,23.0,,5.0,2.0,Carrier C,$3.05,Supplier 1,Delhi,13.0,,5.0,$81.11,Fail,4.31,Sea,A route,598.57
cosmetics,060900035,73.49,83.0,75.0,$6885.95,Non-binary,40.0,10.0,81.0,7.0,Carrier A,$5.72,Supplier 1,Kolkata,18.0,275.0,4.0,$80.53,Fail,2.12,Rail,route_A,682.7
skincare,9001672,,58.0,355.0,,Male,64.0,12.0,32.0,1.0,Carrier C,$8.25,Supplier 1,Bangalore,15.0,954.0,12.0,$20.13,Pending,4.58,Rail,C route,394.14
skincare,9001673,63.68,4.0,584.0,$1450.17,Male,85.0,22.0,74.0,6.0,Carrier A,$4.18,Supplier 4,Chennai,2.0,882.0,26.0,,Pending,2.49,Rail,b,245.26
cosmetics,566447,49.93,4.0,771.0,$9203.69,Non-binary,23.0,4.0,43.0,7.0,Carrier A,$6.78,Supplier 1,Kolkata,11.0,209.0,26.0,$27.52,Pending,1.99,Sea,routeA,111.81
skincare,HX8015,57.76,20.0,910.0,$1265.54,Unknown,29.0,18.0,81.0,8.0,Carrier B,$3.21,Supplier 3,Delhi,29.0,783.0,29.0,,Fail,3.75,Sea,route_A,839.18
cosmetics,HX030302,,10.0,188.0,$4203.74,Unknown,78.0,16.0,69.0,7.0,Carrier A,$1.98,Supplier 5,Mumbai,14.0,963.0,28.0,$98.71,Fail,0.37,,C route,672.99
skincare,HX030301,41.03,24.0,973.0,$1142.32,Male,90.0,8.0,45.0,6.0,Carrier B,$8.15,Supplier 1,Chennai,22.0,301.0,3.0,$89.42,Fail,0.45,Rail,routeC,306.39
cosmetics,020411-6,77.32,99.0,685.0,$1694.31,,,4.0,9.0,9.0,,$1.89,Supplier 1,Kolkata,15.0,,20.0,$96.09,Pass,3.26,Road,route_A,476.59
cosmetics,020411-7,42.78,,,$9200.51,Unknown,69.0,25.0,49.0,3.0,Carrier C,$3.44,Supplier 1,Delhi,14.0,713.0,10.0,$40.83,Pass,2.43,Rail,routeC,821.3
skincare,HX020411-12,36.03,,290.0,$4193.75,Male,95.0,23.0,33.0,6.0,Carrier C,$8.7,Supplier 3,Kolkata,16.0,185.0,20.0,$19.5,Pass,3.95,Sea,a,584.83
skincare,HX0101157,95.9,85.0,45.0,$4822.94,Female,89.0,12.0,18.0,4.0,Carrier A,$4.12,Supplier 1,Bangalore,,753.0,18.0,$26.95,Pending,4.58,Rail,route_B,370.14
skincare,HX020411-15,19.25,54.0,573.0,,Non-binary,31.0,2.0,9.0,,Carrier C,$9.76,Supplier 1,Chennai,29.0,948.0,21.0,$55.04,,1.94,Air,route_C,340.47
haircare,HX0101122,9.94,21.0,,,Female,,4.0,62.0,1.0,Carrier C,$9.82,Supplier 5,Mumbai,15.0,824.0,21.0,$81.39,Fail,2.98,Rail,routeC,295.85
haircare,HX0101127,77.33,74.0,123.0,$6353.23,Female,20.0,5.0,57.0,1.0,Carrier B,$3.41,Supplier 3,Delhi,19.0,150.0,21.0,$23.51,Pass,2.5,Rail,routeB,841.36
haircare,HX0101077,7.76,38.0,358.0,$4349.8,Unknown,55.0,3.0,29.0,3.0,Carrier B,$1.37,Supplier 3,Kolkata,27.0,211.0,27.0,$69.38,,,Road,a,623.67
cosmetics,HX0101107,83.87,46.0,528.0,$3997.31,Unknown,81.0,9.0,78.0,4.0,Carrier C,,Supplier 1,Chennai,9.0,562.0,27.0,$39.12,Pass,4.16,Road,A route,738.24
skincare,HX0101053,44.28,4.0,66.0,$8964.68,Unknown,2.0,29.0,25.0,2.0,Carrier C,$5.06,Supplier 3,Kolkata,5.0,541.0,10.0,$40.71,Pass,4.56,Road,C,874.11
cosmetics,HX010474,91.64,,936.0,$4449.56,Non-binary,25.0,21.0,15.0,1.0,Carrier A,$1.91,Supplier 2,,5.0,370.0,1.0,$69.57,Fail,1.27,Air,route_A,
haircare,HX0101010,72.43,57.0,657.0,$5441.51,Female,13.0,18.0,6.0,4.0,Carrier A,$7.37,Supplier 3,Bangalore,11.0,676.0,6.0,$52.03,Fail,3.86,Road,A,324.54
