Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,H268500-0004/00,43.57,88.0,453.0,$3968.34,Non-binary,71.0,,61.0,3.0,Carrier C,$1.47,Supplier 3,Chennai,22.0,376.0,5.0,$45.17,Fail,0.11,,,631.84
haircare,H268500-0003/00,72.82,98.0,471.0,$9178.77,Unknown,21.0,,29.0,5.0,Carrier A,$8.23,Supplier 3,Mumbai,,739.0,10.0,,Fail,4.11,Air,C route,776.08
,H268500-0002/00,,87.0,255.0,$8520.71,Male,92.0,18.0,9.0,8.0,Carrier C,$6.62,Supplier 5,Bangalore,12.0,207.0,2.0,$34.35,Fail,2.36,Air,A,602.1
skincare,H268500-0001/00,20.8,61.0,536.0,,Unknown,81.0,5.0,20.0,7.0,Carrier B,$8.02,Supplier 5,Chennai,1.0,724.0,8.0,$80.23,Pending,1.69,Air,A route,797.83
skincare,101400201,57.26,29.0,464.0,$1028.25,Unknown,40.0,13.0,82.0,3.0,Carrier B,,Supplier 4,Mumbai,17.0,393.0,21.0,$31.13,Fail,4.84,Sea,C,694.01
haircare,101500201,,,331.0,$5920.11,Non-binary,37.0,8.0,66.0,4.0,Carrier C,$3.45,Supplier 5,Bangalore,24.0,316.0,,$51.37,Fail,2.16,Road,,317.71
cosmetics,101700001,20.42,3.0,,$2160.93,Female,29.0,25.0,63.0,3.0,Carrier A,$3.35,Supplier 3,Mumbai,17.0,691.0,11.0,$28.97,Pass,3.11,Rail,,578.49
cosmetics,101400204,31.45,74.0,694.0,$3435.92,Male,17.0,15.0,68.0,2.0,Carrier B,$4.47,,Mumbai,7.0,461.0,12.0,$47.25,Pending,1.91,Air,a,291.38
skincare,101400211,77.04,72.0,634.0,$9835.76,Male,59.0,25.0,86.0,,Carrier C,$2.31,Supplier 2,Mumbai,17.0,641.0,14.0,$45.3,Fail,0.46,Air,routeB,
skincare,101400213,46.16,18.0,,$4169.86,Male,38.0,14.0,75.0,3.0,Carrier A,$7.35,Supplier 2,Kolkata,27.0,607.0,7.0,,Pass,4.85,Sea,B,679.49
skincare,101400214,55.98,48.0,253.0,$8491.43,Male,99.0,27.0,33.0,6.0,,$2.76,Supplier 4,Mumbai,26.0,751.0,23.0,$82.84,Pending,4.91,Sea,routeC,671.9
skincare,101500211,8.95,24.0,269.0,$5739.84,Female,2.0,16.0,27.0,1.0,Carrier A,$9.2,Supplier 2,Delhi,10.0,332.0,5.0,$19.29,Pending,0.61,,routeC,724.9
haircare,101500213,55.09,26.0,525.0,$9575.32,Female,6.0,10.0,29.0,,Carrier A,$8.19,Supplier 5,Delhi,26.0,500.0,11.0,$25.95,Fail,0.62,,route_B,557.44
haircare,101500214,51.25,38.0,995.0,,Unknown,36.0,6.0,36.0,8.0,Carrier B,$2.38,Supplier 1,Delhi,22.0,913.0,26.0,$69.18,Pending,3.1,Sea,B route,206.52
skincare,101700201,75.69,20.0,70.0,$9773.63,Non-binary,30.0,26.0,94.0,2.0,Carrier B,,Supplier 1,Chennai,7.0,771.0,21.0,,Fail,0.98,Sea,route_A,538.14
haircare,101700204,56.85,79.0,110.0,$3275.37,Female,54.0,21.0,35.0,2.0,Carrier B,$3.33,Supplier 4,Mumbai,,,21.0,$14.87,Fail,3.65,Rail,c,885.91
haircare,101700211,15.18,43.0,852.0,$9346.02,Non-binary,23.0,5.0,20.0,1.0,Carrier C,,,Kolkata,14.0,155.0,18.0,$32.8,Pending,4.73,Road,,606.33
cosmetics,101700521,,95.0,872.0,$1881.94,Unknown,86.0,,79.0,1.0,Carrier B,$3.86,Supplier 3,Kolkata,,792.0,29.0,$10.4,Pending,0.35,Road,B,583.89
haircare,101400005,15.26,89.0,978.0,$2269.08,Male,24.0,9.0,86.0,9.0,,$2.95,Supplier 3,Kolkata,13.0,839.0,28.0,$89.09,Pending,3.31,Sea,a,777.66
haircare,101500006,76.86,79.0,473.0,$3668.97,Non-binary,85.0,22.0,84.0,8.0,Carrier B,$7.55,Supplier 2,,28.0,383.0,12.0,$68.44,Pass,3.18,Air,B route,601.47
skincare,101700005,36.69,98.0,55.0,$8441.39,Male,2.0,3.0,26.0,,Carrier B,$2.19,Supplier 2,Kolkata,7.0,599.0,4.0,$86.56,Fail,1.18,Road,routeA,724.93
skincare,101700006,68.96,54.0,469.0,$3449.49,Non-binary,53.0,27.0,16.0,4.0,Carrier C,,Supplier 2,Bangalore,,854.0,3.0,$20.93,Pass,1.58,Rail,c,315.77
cosmetics,U020519-0000/02,21.46,64.0,118.0,$2857.64,Non-binary,1.0,5.0,78.0,7.0,Carrier A,$3.9,Supplier 3,Bangalore,27.0,193.0,6.0,$82.87,Fail,3.12,Road,a,597.28
cosmetics,U020519-0000/01,68.1,72.0,473.0,$2524.03,Unknown,69.0,14.0,7.0,6.0,Carrier A,$6.21,Supplier 3,Kolkata,19.0,,6.0,$27.39,Fail,1.25,Rail,C,833.22
cosmetics,U020518-0000/02,34.22,54.0,887.0,$4181.57,Female,49.0,24.0,70.0,5.0,Carrier B,$3.44,Supplier 4,Mumbai,8.0,455.0,26.0,$64.96,Fail,0.21,Sea,routeA,663.12
cosmetics,U020518-0000/01,,19.0,811.0,$1645.98,Non-binary,54.0,26.0,45.0,4.0,Carrier C,$2.46,Supplier 2,Chennai,19.0,948.0,14.0,$32.78,Fail,1.04,,routeC,313.39
cosmetics,U020521-0000/02,74.19,19.0,578.0,$5647.95,Non-binary,4.0,19.0,23.0,2.0,Carrier A,$6.44,Supplier 4,Bangalore,,636.0,19.0,$52.86,Pass,3.58,Road,routeB,301.14
haircare,U020521-0000/01,43.2,,153.0,$9320.16,Female,86.0,24.0,83.0,8.0,Carrier A,$6.88,,Delhi,19.0,287.0,1.0,$75.25,Fail,2.86,,routeA,716.9
haircare,U020520-0000/03,36.4,49.0,168.0,,Female,60.0,18.0,9.0,1.0,Carrier A,$4.56,Supplier 2,Chennai,22.0,777.0,9.0,$37.33,Fail,0.3,,route_C,758.69
cosmetics,U020520-0000/02,12.92,68.0,132.0,$4608.41,Male,94.0,2.0,17.0,9.0,Carrier C,$6.29,Supplier 2,Kolkata,19.0,711.0,14.0,$94.91,Fail,2.36,Sea,B route,701.25
skincare,U020520-0000/01,82.74,25.0,881.0,$6829.59,Non-binary,44.0,27.0,71.0,1.0,Carrier B,$3.58,Supplier 5,Bangalore,29.0,494.0,24.0,,Pending,2.62,Road,,522.11
cosmetics,U020521-0000/03,98.19,26.0,836.0,$6965.19,Male,32.0,27.0,55.0,8.0,,$3.12,Supplier 1,Kolkata,12.0,560.0,3.0,$50.04,Pass,2.78,Sea,c,924.33
cosmetics,B250663000005,84.74,9.0,499.0,$9929.16,,62.0,6.0,11.0,4.0,Carrier C,$5.12,Supplier 1,Kolkata,,714.0,12.0,$39.92,Pending,3.48,Air,route_C,429.43
skincare,B250662100005,28.86,43.0,,,Female,85.0,3.0,99.0,5.0,Carrier C,$7.4,Supplier 5,Delhi,19.0,840.0,14.0,$91.25,Pass,0.02,Air,B route,658.88
skincare,B250661700005,,94.0,909.0,$4729.29,Female,92.0,,45.0,6.0,Carrier A,$7.33,Supplier 4,Mumbai,12.0,593.0,9.0,$14.18,Pending,1.24,Road,C,285.61
,B250660400005,47.47,25.0,,$5856.02,Female,10.0,14.0,78.0,8.0,Carrier A,$9.65,Supplier 1,Delhi,19.0,554.0,15.0,,Pending,,Air,a,554.58
haircare,B250661800005,91.64,3.0,675.0,$5347.17,Non-binary,92.0,27.0,4.0,5.0,Carrier C,$5.19,Supplier 4,Kolkata,26.0,453.0,18.0,$52.47,Pending,1.17,Road,routeB,124.79
skincare,B250663000004,28.22,32.0,843.0,$7312.61,Female,53.0,3.0,3.0,2.0,Carrier C,$7.15,Supplier 1,Delhi,28.0,997.0,23.0,$96.27,Pending,4.29,Road,C route,914.04
cosmetics,B250662100004,37.69,73.0,,$5771.96,Unknown,33.0,26.0,16.0,4.0,Carrier B,$1.54,Supplier 4,Chennai,11.0,114.0,1.0,$92.92,Pass,4.42,Rail,B,361.13
haircare,B250661700004,40.15,77.0,970.0,,Non-binary,39.0,17.0,7.0,3.0,,$2.5,Supplier 5,Mumbai,2.0,686.0,19.0,$71.23,Pending,3.11,Road,,842.09
haircare,B250660400004,96.38,52.0,185.0,$9885.89,Non-binary,67.0,27.0,21.0,7.0,Carrier C,$9.35,Supplier 1,Delhi,,476.0,11.0,$79.21,Fail,2.19,Road,c,279.43
,B250661800004,20.74,28.0,523.0,$5564.87,Male,71.0,23.0,16.0,8.0,Carrier A,$6.14,Supplier 5,Chennai,15.0,501.0,10.0,$41.2,Fail,2.09,Sea,A,469.19
cosmetics,B250663000003,20.88,10.0,820.0,$4055.52,Male,28.0,10.0,32.0,8.0,Carrier C,$5.24,Supplier 1,Mumbai,28.0,302.0,28.0,$36.52,Fail,0.54,Air,route_C,144.01
haircare,B250662100003,48.66,92.0,467.0,,Male,8.0,,64.0,9.0,Carrier A,$8.66,Supplier 2,Mumbai,8.0,125.0,17.0,$75.85,Pass,4.37,Rail,route_A,566.23
cosmetics,B250661700003,7.37,26.0,427.0,$3033.22,Male,55.0,16.0,78.0,1.0,,$3.45,Supplier 1,Chennai,9.0,324.0,19.0,,Fail,1.02,,C route,631.52
skincare,B250660400003,86.36,58.0,422.0,$8707.68,,59.0,12.0,14.0,5.0,Carrier A,$8.97,Supplier 2,Delhi,5.0,906.0,15.0,$30.86,Pending,3.58,Road,B route,795.2
cosmetics,B250661800003,39.25,47.0,85.0,$4298.78,Female,15.0,25.0,64.0,5.0,Carrier B,$8.34,Supplier 5,Kolkata,1.0,,4.0,$74.47,Fail,0.67,,routeB,104.44
skincare,B250663000002,11.5,,915.0,$7191.42,Non-binary,81.0,25.0,13.0,3.0,Carrier A,$4.09,Supplier 4,Mumbai,11.0,710.0,7.0,$18.52,Fail,3.61,Rail,B,765.26
cosmetics,B250662100002,22.71,26.0,415.0,$6896.33,Male,5.0,14.0,78.0,9.0,,$9.75,Supplier 1,Bangalore,16.0,940.0,15.0,$76.78,Pending,1.1,Rail,routeA,173.4
skincare,B250661700002,20.95,53.0,800.0,$7877.01,Female,72.0,28.0,5.0,3.0,Carrier A,$4.94,Supplier 1,Kolkata,,250.0,25.0,$45.86,Pass,1.59,Rail,A,869.97
skincare,B250660400002,62.82,20.0,809.0,$4683.0,Female,17.0,28.0,48.0,1.0,Carrier C,$8.98,Supplier 1,Bangalore,19.0,844.0,20.0,,Pending,1.62,Rail,C route,472.84
haircare,B250661800002,35.8,47.0,415.0,,Non-binary,61.0,5.0,99.0,2.0,Carrier B,$5.81,Supplier 1,Chennai,5.0,257.0,11.0,$55.54,Pass,,Sea,B route,987.09
haircare,B250663000001,20.62,33.0,672.0,$8277.17,Non-binary,98.0,15.0,7.0,8.0,Carrier B,$3.0,Supplier 2,Mumbai,20.0,133.0,27.0,$90.78,Pass,2.37,,route_C,547.59
skincare,B250662100001,69.78,34.0,568.0,$7886.52,Male,24.0,5.0,7.0,2.0,Carrier A,$2.35,Supplier 4,Mumbai,20.0,807.0,21.0,$28.47,Fail,1.54,Road,route_B,992.69
haircare,B250661700001,14.06,98.0,277.0,$6241.21,Non-binary,48.0,4.0,44.0,2.0,Carrier B,$9.01,Supplier 2,Kolkata,7.0,473.0,23.0,$35.77,Pending,0.41,Rail,route_C,412.41
skincare,B250660400001,95.75,,495.0,$7844.59,Unknown,68.0,15.0,63.0,5.0,Carrier A,$4.79,Supplier 5,Chennai,8.0,391.0,7.0,$24.68,Pending,3.54,Rail,B,666.29
haircare,B250661800001,28.98,70.0,290.0,$7341.7,Male,80.0,4.0,47.0,4.0,Carrier B,$8.95,Supplier 3,Mumbai,8.0,734.0,,$33.37,Pass,0.38,Sea,route_A,854.04
cosmetics,C817415-0002/00,38.27,94.0,647.0,$4867.55,Female,78.0,6.0,33.0,4.0,Carrier B,$2.57,Supplier 1,Delhi,2.0,446.0,19.0,$58.19,Pass,3.25,Sea,A route,534.39
haircare,C817419-0002/00,44.83,51.0,724.0,$3810.66,Unknown,90.0,14.0,41.0,6.0,Carrier B,$2.24,Supplier 4,Kolkata,28.0,438.0,20.0,$68.23,Pending,,Air,route_C,446.98
cosmetics,C817419-0001/00,33.43,20.0,251.0,$6623.15,Unknown,48.0,19.0,21.0,1.0,Carrier C,$4.11,Supplier 4,,9.0,302.0,12.0,$41.56,Pass,1.05,Rail,c,171.95
cosmetics,C817417-0002/00,87.59,3.0,981.0,$6884.66,,35.0,9.0,80.0,2.0,Carrier B,,Supplier 2,Kolkata,18.0,282.0,4.0,$88.07,Fail,0.83,Road,B,921.22
skincare,C817417-0001/00,65.81,,286.0,$6281.44,Female,41.0,20.0,5.0,,Carrier C,$4.79,Supplier 5,Chennai,3.0,583.0,21.0,$45.78,Pending,3.17,,A route,104.44
cosmetics,C817415-0001/00,62.09,16.0,185.0,$4736.67,Unknown,24.0,25.0,37.0,3.0,Carrier B,$6.5,Supplier 1,Bangalore,16.0,660.0,13.0,$49.79,Pass,4.68,Sea,routeC,453.45
haircare,C817411-0002/00,35.91,72.0,842.0,$8829.99,,6.0,23.0,39.0,2.0,Carrier A,,Supplier 2,Bangalore,13.0,896.0,7.0,$45.27,Pass,1.11,Rail,B,507.2
skincare,C817411-0001/00,70.19,96.0,796.0,$1273.67,Non-binary,36.0,11.0,84.0,,Carrier B,$9.9,Supplier 5,Kolkata,20.0,769.0,13.0,$93.9,Fail,,Road,C,128.84
cosmetics,C817410-0002/00,61.79,57.0,377.0,$9853.02,,67.0,6.0,,4.0,,,Supplier 5,Mumbai,16.0,381.0,16.0,$50.0,Fail,2.06,Rail,c,420.31
haircare,C817410-0001/00,40.35,96.0,226.0,$6263.46,Male,,5.0,88.0,5.0,Carrier A,$4.84,Supplier 3,Chennai,3.0,872.0,13.0,$11.05,,0.45,,route_B,138.74
skincare,C817408-0002/00,32.54,67.0,344.0,$5399.94,Non-binary,43.0,5.0,26.0,1.0,Carrier A,,Supplier 2,Chennai,16.0,361.0,4.0,$55.41,Pending,0.53,Air,route_A,827.25
cosmetics,C817408-0001/00,53.51,59.0,394.0,$1006.24,Non-binary,23.0,6.0,,6.0,,$3.39,Supplier 2,Chennai,9.0,767.0,24.0,$63.16,Pass,4.65,Air,C route,391.13
skincare,B152082400001,71.63,89.0,595.0,$9463.91,Unknown,20.0,8.0,99.0,7.0,Carrier A,$8.84,Supplier 3,,,826.0,4.0,$16.62,,4.84,Road,A,927.21
haircare,B152082100001,29.23,95.0,230.0,$6206.36,Male,71.0,18.0,44.0,4.0,,$6.28,Supplier 1,Mumbai,15.0,841.0,2.0,$43.33,Pending,2.34,Road,c,660.01
haircare,B152082000001,64.86,32.0,362.0,$2651.31,Unknown,51.0,10.0,21.0,3.0,,$8.25,Supplier 1,,6.0,411.0,18.0,$14.83,Fail,4.86,Sea,,789.58
skincare,B152081400001,25.99,51.0,534.0,$8154.61,Unknown,14.0,23.0,69.0,7.0,Carrier C,$9.54,Supplier 2,Delhi,5.0,480.0,3.0,,Pending,2.16,Road,C route,
haircare,B152081000001,78.35,95.0,565.0,$4290.59,Unknown,56.0,19.0,22.0,2.0,Carrier C,$2.73,Supplier 5,Delhi,8.0,410.0,6.0,$37.74,Pending,3.07,Road,A route,975.74
