Product type,SKU,Estimated price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Demurrage
haircare,1VBG0785GE,35590.0,32.0,,$3224.18,Female,,13.0,75.0,4.0,Carrier B,$403.00,Supplier 3,Bangalore,23.0,768.0,19.0,$97.95,Pass,1.27,Road,route_C,665.78,1389972.0
haircare,1VBS0070GE,47350.0,51.0,,,Unknown,19.0,9.0,82.0,9.0,Carrier B,$336.00,Supplier 4,Mumbai,14.0,678.0,3.0,$20.02,Pending,4.07,Rail,,941.35,0.0
skincare,1VMG0080GE,62870.0,46.0,903.0,$1755.28,Female,18.0,21.0,98.0,8.0,Carrier C,$210.00,Supplier 5,Delhi,20.0,486.0,29.0,$29.09,Fail,3.09,Rail,C route,331.07,0.0
haircare,1VMP0106GE,38390.0,21.0,365.0,$4001.16,,64.0,14.0,41.0,,Carrier B,$559.00,Supplier 4,Chennai,19.0,511.0,14.0,$52.58,Fail,4.19,Rail,routeB,650.12,0.0
skincare,1VMG0140GE,83820.0,99.0,163.0,$7097.87,Non-binary,88.0,18.0,50.0,2.0,Carrier A,$627.00,Supplier 2,Chennai,23.0,941.0,17.0,$97.18,Pending,2.58,Road,route_B,392.25,0.0
haircare,1VRH0010GE,59160.0,32.0,48.0,$1649.0,,35.0,15.0,87.0,2.0,Carrier B,$423.00,Supplier 2,Chennai,27.0,469.0,13.0,$79.46,Fail,1.88,Rail,route_A,295.24,842288.0
haircare,1VMP0116GE,30110.0,94.0,511.0,$2848.61,Female,62.0,,71.0,8.0,Carrier B,$528.00,Supplier 4,Mumbai,27.0,452.0,9.0,$90.84,Pass,,Sea,A route,176.43,0.0
cosmetics,1VRH0020GE,71690.0,39.0,329.0,$4432.97,Male,1.0,24.0,59.0,1.0,Carrier C,$427.00,Supplier 5,Bangalore,,,27.0,$40.03,Fail,0.18,Air,C route,658.64,0.0
cosmetics,1VRD0120GE,53240.0,12.0,840.0,$9838.45,Non-binary,25.0,,39.0,4.0,Carrier B,$677.00,Supplier 1,Kolkata,4.0,,1.0,$99.28,Fail,,Rail,b,893.88,0.0
haircare,2VRA0180GE,,47.0,116.0,$8063.76,Female,45.0,8.0,3.0,5.0,Carrier B,$911.00,Supplier 2,Bangalore,12.0,388.0,25.0,$19.25,Fail,1.15,Rail,C route,416.25,0.0
haircare,1VMG0060GE,48630.0,18.0,941.0,$7601.38,Female,49.0,28.0,76.0,,Carrier B,$248.00,Supplier 4,Mumbai,23.0,239.0,17.0,$14.77,Fail,4.24,Air,routeC,597.4,597225.0
cosmetics,2VRP0040GE,50200.0,21.0,849.0,,,98.0,3.0,7.0,7.0,,$443.00,Supplier 4,Chennai,27.0,399.0,16.0,$87.0,Pass,0.7,Air,C,677.92,0.0
cosmetics,4VBA1458GE,76770.0,13.0,337.0,$8028.96,Unknown,89.0,15.0,49.0,8.0,Carrier B,$227.00,Supplier 4,Bangalore,14.0,112.0,18.0,$93.45,Pending,2.9,Air,,473.19,412541.0
cosmetics,4VBA1461GE,11200.0,21.0,881.0,$8067.42,Female,16.0,16.0,26.0,9.0,Carrier A,$662.00,Supplier 1,Kolkata,2.0,763.0,2.0,$18.15,Fail,,,routeB,913.01,1473966.0
skincare,1MES0036GE,34100.0,8.0,737.0,$6409.92,Unknown,98.0,4.0,,7.0,Carrier A,$756.00,Supplier 3,Chennai,1.0,527.0,14.0,$20.21,,2.37,,c,426.48,0.0
haircare,1MES0008GE,8470.0,46.0,864.0,$9913.26,Unknown,93.0,21.0,48.0,5.0,Carrier A,$939.00,Supplier 5,Kolkata,28.0,924.0,22.0,$12.99,Pass,3.73,Rail,B route,212.51,0.0
cosmetics,1MES0038GE,75570.0,7.0,840.0,$3927.29,Non-binary,19.0,6.0,79.0,5.0,Carrier A,$351.00,Supplier 3,Delhi,18.0,963.0,23.0,,Pass,4.02,Air,B route,229.62,1739616.0
haircare,1MES0040GE,27960.0,23.0,147.0,$9471.45,Unknown,23.0,1.0,2.0,6.0,Carrier C,$955.00,Supplier 5,Kolkata,20.0,,27.0,$28.85,Pass,3.68,Rail,C,,2266721.0
skincare,1VAI0001GE,89850.0,96.0,575.0,$9232.58,Male,83.0,4.0,71.0,5.0,Carrier A,$157.00,Supplier 5,Chennai,8.0,,17.0,$97.31,Fail,,Rail,routeC,989.21,0.0
skincare,1MES0042GE,53130.0,75.0,806.0,$1103.33,Non-binary,25.0,11.0,32.0,9.0,Carrier B,$643.00,Supplier 4,Delhi,,584.0,3.0,$70.11,Pending,2.23,Rail,A,,0.0
cosmetics,1VBA0720GE,80270.0,86.0,323.0,$5051.05,Non-binary,16.0,12.0,4.0,,Carrier A,,Supplier 2,Chennai,26.0,987.0,2.0,$80.07,Pass,0.87,Road,routeB,,0.0
skincare,1VCT0150GE,97910.0,22.0,443.0,$9793.94,Non-binary,54.0,26.0,20.0,3.0,Carrier B,$904.00,Supplier 4,Chennai,6.0,455.0,8.0,$79.85,Pass,0.24,Air,c,533.99,
haircare,1VBG0520GE,,89.0,837.0,$1928.09,Female,73.0,29.0,,7.0,Carrier A,$577.00,Supplier 1,Delhi,22.0,248.0,25.0,$58.16,Pass,1.23,Rail,C,738.58,0.0
cosmetics,1VCT0420GE,86830.0,22.0,13.0,,Female,1.0,5.0,32.0,7.0,Carrier C,$702.00,Supplier 5,Kolkata,13.0,,29.0,$81.77,Pending,,Road,b,651.16,0.0
haircare,1VGI0040GE,41390.0,92.0,943.0,$9810.62,Unknown,42.0,23.0,28.0,6.0,Carrier A,$848.00,,Mumbai,9.0,815.0,2.0,$63.62,Fail,2.79,Sea,c,956.0,0.0
haircare,1VMP0100GE,55620.0,29.0,494.0,$5999.46,,19.0,29.0,77.0,3.0,Carrier A,$235.00,Supplier 5,Mumbai,9.0,406.0,2.0,$38.31,Fail,0.92,Sea,B,836.0,0.0
skincare,1VRG0180GE,26130.0,13.0,701.0,,Non-binary,97.0,21.0,1.0,7.0,Carrier C,$135.00,Supplier 5,Mumbai,20.0,,26.0,$60.5,,0.19,Rail,c,882.07,429092.0
skincare,1VRG0020GE,20420.0,,287.0,$6239.65,Male,34.0,16.0,60.0,5.0,Carrier A,$891.00,Supplier 4,Mumbai,9.0,159.0,9.0,$58.02,Pass,0.18,,routeB,587.5,571133.0
skincare,1VRH0080GE,51050.0,2.0,720.0,$2839.97,Unknown,80.0,13.0,56.0,7.0,Carrier B,$383.00,Supplier 2,Bangalore,15.0,534.0,20.0,$84.11,Fail,4.16,Air,C route,394.55,777408.0
skincare,1VRH0090GE,59910.0,29.0,114.0,$5677.34,Male,55.0,13.0,35.0,2.0,Carrier A,$216.00,Supplier 2,Mumbai,13.0,120.0,21.0,$98.36,Pass,2.96,Air,routeC,731.56,1568905.0
skincare,1VRH0070GE,34590.0,85.0,480.0,$1666.38,Unknown,18.0,17.0,30.0,6.0,Carrier A,$522.00,Supplier 5,Delhi,,974.0,29.0,$46.99,Pending,1.79,Rail,routeA,495.15,0.0
cosmetics,1VRT0130GE,57370.0,79.0,22.0,$6449.34,Unknown,,27.0,54.0,8.0,,$638.00,Supplier 2,Mumbai,16.0,481.0,27.0,$78.71,Pending,4.47,Road,B,358.98,0.0
haircare,1VRT0420GE,88860.0,52.0,349.0,$5651.11,Female,89.0,7.0,36.0,1.0,Carrier C,$128.00,Supplier 2,Chennai,2.0,344.0,25.0,$18.98,Fail,0.35,Rail,A route,,462283.0
haircare,2FIB0060GE,56120.0,27.0,726.0,,,45.0,8.0,,4.0,Carrier A,$347.00,Supplier 4,Mumbai,26.0,172.0,6.0,$79.91,Pass,4.9,Air,routeC,575.09,0.0
haircare,1VRT0450GE,72360.0,50.0,683.0,$6676.3,Male,6.0,13.0,89.0,1.0,Carrier A,$130.00,Supplier 3,Kolkata,14.0,548.0,26.0,$43.43,Pass,3.08,Air,route_B,634.83,2383912.0
haircare,2VRA0160GE,80730.0,95.0,835.0,$5946.46,,21.0,23.0,80.0,1.0,,$478.00,Supplier 1,Delhi,27.0,175.0,12.0,,Fail,0.92,Road,B route,611.91,0.0
skincare,1VRC0212GE,98880.0,79.0,566.0,$7208.01,Non-binary,70.0,27.0,58.0,8.0,Carrier A,$906.00,Supplier 3,Delhi,6.0,,25.0,$42.69,Pending,3.4,Rail,route_C,204.89,1456286.0
haircare,2VRA0210GE,60720.0,23.0,906.0,,Female,96.0,16.0,83.0,7.0,Carrier A,$984.00,Supplier 2,Bangalore,2.0,689.0,9.0,$64.96,Pending,3.82,Air,c,612.99,0.0
cosmetics,1VRG0160GE,80880.0,88.0,810.0,$6358.24,,48.0,29.0,65.0,1.0,Carrier A,$673.00,,Chennai,8.0,489.0,7.0,$20.73,Pending,2.15,Rail,c,251.57,1881757.0
cosmetics,1VBG0835GE,,44.0,320.0,$2549.0,Male,39.0,4.0,69.0,2.0,Carrier A,$245.00,Supplier 1,Delhi,4.0,676.0,12.0,$93.16,Pending,,Air,C route,697.34,1070840.0
haircare,1MES0007GE,94500.0,77.0,126.0,$9329.7,Female,31.0,8.0,51.0,4.0,Carrier B,,Supplier 1,Kolkata,21.0,441.0,26.0,$16.99,Pending,0.75,Sea,route_B,486.45,0.0
haircare,1MES0046GE,14970.0,22.0,277.0,$1615.01,Female,10.0,16.0,22.0,1.0,Carrier B,$565.00,Supplier 5,Mumbai,24.0,389.0,25.0,$93.7,Fail,1.39,Sea,a,863.91,0.0
cosmetics,1VBA0670GE,,43.0,976.0,,Unknown,30.0,21.0,88.0,3.0,Carrier C,,Supplier 1,Delhi,14.0,667.0,5.0,$73.64,Fail,0.47,Sea,B route,800.44,342747.0
cosmetics,1VBA2160GE,33080.0,37.0,204.0,$7262.18,Male,18.0,10.0,53.0,8.0,Carrier A,$930.00,Supplier 5,,,430.0,16.0,$39.67,Fail,1.05,Air,routeB,751.94,0.0
,1VRT0430GE,9610.0,61.0,194.0,$5122.2,,60.0,25.0,36.0,8.0,Carrier C,$782.00,Supplier 1,Mumbai,24.0,358.0,5.0,$45.17,Pending,1.19,Road,route_B,730.66,0.0
cosmetics,1VGT0020GE,63690.0,97.0,681.0,$1828.86,Female,,12.0,68.0,8.0,Carrier C,$759.00,Supplier 3,Bangalore,28.0,,12.0,$76.67,Pending,4.59,Sea,B route,604.44,1017728.0
skincare,3STC0020GE,73850.0,56.0,664.0,$5980.41,Male,73.0,12.0,36.0,6.0,,$738.00,Supplier 1,Delhi,14.0,801.0,24.0,$64.13,Fail,0.39,Air,routeC,155.0,0.0
skincare,1VBA2180GE,84960.0,3.0,547.0,$6774.69,Female,,26.0,52.0,6.0,Carrier B,$280.00,Supplier 4,Delhi,,105.0,26.0,$70.45,Fail,2.14,Rail,routeA,689.94,1570506.0
skincare,1VNA0060GE,13150.0,63.0,696.0,$7334.13,Male,15.0,5.0,53.0,5.0,Carrier B,$290.00,Supplier 5,Kolkata,16.0,105.0,20.0,,Pending,,,routeB,520.23,0.0
skincare,1VMP0180GE,87770.0,19.0,286.0,$4359.34,,4.0,,82.0,9.0,Carrier A,$719.00,Supplier 1,Chennai,6.0,290.0,,$53.9,Pass,4.49,Road,routeB,522.6,0.0
skincare,2VST0060CB,64650.00000000001,23.0,57.0,$6072.94,Non-binary,63.0,1.0,50.0,4.0,Carrier A,$298.00,Supplier 5,,20.0,247.0,23.0,$99.09,Fail,4.99,Road,routeA,441.12,0.0
haircare,2VST0050CB,70690.0,29.0,734.0,$5056.18,Non-binary,40.0,28.0,80.0,7.0,Carrier B,$495.00,Supplier 4,Chennai,1.0,504.0,7.0,$29.25,Pending,3.77,Road,C route,936.16,0.0
cosmetics,2VST0080CB,91150.0,30.0,303.0,$7048.5,Unknown,9.0,9.0,41.0,1.0,Carrier A,$804.00,Supplier 1,Delhi,12.0,357.0,29.0,$47.61,Pending,4.85,Rail,route_B,324.51,1903735.0
skincare,2VST0010CB,62850.0,39.0,163.0,$6252.01,Non-binary,,12.0,18.0,9.0,,$806.00,Supplier 1,Chennai,7.0,829.0,19.0,$36.26,Fail,3.94,Rail,c,384.94,0.0
cosmetics,2VST0030CB,34250.0,25.0,19.0,$5731.81,,26.0,5.0,22.0,7.0,Carrier A,$508.00,Supplier 4,Mumbai,8.0,578.0,20.0,$78.86,Pass,4.82,Road,B route,966.74,1773960.0
cosmetics,2CNA0500CB,82690.0,8.0,370.0,$3245.72,Female,4.0,22.0,66.0,9.0,Carrier B,$813.00,,Bangalore,9.0,189.0,23.0,$78.76,Pending,3.54,Road,b,829.14,1036542.0
skincare,2CNA0870CB,,58.0,264.0,,,81.0,20.0,21.0,7.0,Carrier C,$855.00,Supplier 4,Chennai,2.0,,11.0,$36.32,Fail,,Road,route_A,112.68,1083906.0
haircare,2CNA0700CB,4390.0,16.0,794.0,$2566.74,Unknown,16.0,22.0,,2.0,Carrier C,,,Mumbai,17.0,963.0,27.0,$17.33,Pending,2.01,Rail,route_A,915.5,0.0
skincare,2VRS0008CB,83230.0,72.0,113.0,$2053.59,Non-binary,,28.0,47.0,6.0,Carrier A,$306.00,Supplier 4,Kolkata,20.0,109.0,21.0,$11.03,Pending,3.23,Rail,C route,303.98,2471061.0
haircare,2VRS0004CB,,1.0,488.0,$5041.76,Male,99.0,24.0,39.0,4.0,Carrier B,$347.00,Supplier 5,Chennai,13.0,,12.0,$48.47,Pending,1.75,Air,b,735.34,0.0
cosmetics,2VRS0073CB,77610.0,5.0,327.0,$6510.32,Male,52.0,3.0,29.0,3.0,,$383.00,Supplier 3,Bangalore,5.0,861.0,3.0,$46.93,Pending,1.37,Sea,route_C,597.77,0.0
haircare,2VRS0034CB,36910.0,,542.0,$2917.77,Male,69.0,5.0,,2.0,Carrier B,$205.00,Supplier 1,Mumbai,10.0,937.0,17.0,$98.96,Pass,2.89,Rail,route_A,583.13,0.0
haircare,2VRS0033CB,86250.0,65.0,647.0,$9451.51,Non-binary,5.0,2.0,90.0,6.0,Carrier A,$346.00,Supplier 1,Chennai,,250.0,7.0,$52.28,Fail,4.67,Road,A,746.13,0.0
haircare,2VRS0060CB,22730.0,4.0,579.0,$1060.14,Non-binary,20.0,14.0,85.0,8.0,Carrier B,$289.00,Supplier 2,Kolkata,17.0,724.0,22.0,$33.08,Fail,0.17,Sea,routeA,286.46,0.0
cosmetics,2VRS0078CB,97480.0,99.0,65.0,$7950.71,Non-binary,79.0,2.0,17.0,,Carrier B,$510.00,Supplier 3,,21.0,129.0,10.0,$90.21,Fail,3.85,Rail,a,243.12,2304635.0
cosmetics,2VRS0065CB,,96.0,292.0,$6626.84,Male,,13.0,80.0,9.0,Carrier C,$918.00,Supplier 4,Mumbai,,227.0,23.0,$54.2,Fail,3.61,Sea,a,686.72,2094476.0
,2VRS0077CB,12310.0,64.0,25.0,$4361.99,Unknown,2.0,7.0,60.0,5.0,Carrier A,$194.00,Supplier 4,Chennai,3.0,177.0,15.0,$63.93,Fail,,Air,C route,361.52,
,2VRS0079CB,57010.0,98.0,549.0,$1454.4,,93.0,10.0,31.0,2.0,Carrier C,$748.00,Supplier 3,,28.0,520.0,2.0,$18.61,Pass,4.65,Rail,C route,976.56,0.0
skincare,2VRS0090CB,98550.0,89.0,1.0,$6647.38,Non-binary,13.0,13.0,73.0,8.0,Carrier C,$719.00,Supplier 4,Delhi,15.0,,,$44.46,Pending,3.81,Road,A route,506.36,0.0
haircare,080200009,,10.0,911.0,$4470.52,Unknown,4.0,16.0,95.0,9.0,Carrier B,$186.00,Supplier 2,Mumbai,7.0,579.0,28.0,$94.98,Pending,2.6,Road,B route,200.44,757927.0
skincare,080200001,19030.0,21.0,549.0,$9426.4,Female,42.0,26.0,78.0,4.0,Carrier A,,Supplier 5,Mumbai,6.0,404.0,4.0,$63.06,,1.02,Air,b,,1421400.0
haircare,PKCBS35,48990.0,46.0,141.0,$5877.91,Female,74.0,14.0,,6.0,Carrier B,$612.00,Supplier 1,Mumbai,4.0,645.0,18.0,,Pending,2.73,Air,route_B,375.54,0.0
skincare,060600010,51730.0,91.0,744.0,$9456.86,Female,61.0,11.0,2.0,8.0,Carrier B,,Supplier 3,Mumbai,19.0,204.0,24.0,$66.31,Pending,3.83,Air,routeB,233.73,0.0
cosmetics,060600011,74430.0,27.0,648.0,$2984.35,Unknown,95.0,10.0,48.0,9.0,Carrier B,$781.00,Supplier 1,Chennai,5.0,271.0,23.0,$91.94,Pending,4.48,Air,routeB,480.54,0.0
haircare,060800002,70190.0,,901.0,$7531.53,Unknown,8.0,6.0,14.0,5.0,Carrier A,,Supplier 5,,3.0,598.0,1.0,$34.66,Fail,3.95,Air,route_A,967.8,0.0
haircare,060900005,40850.0,41.0,188.0,$6555.24,Male,67.0,4.0,59.0,6.0,Carrier A,$724.00,Supplier 3,Kolkata,26.0,121.0,2.0,$55.46,Fail,0.98,Rail,C route,470.29,1890543.0
haircare,060600012,22580.0,13.0,128.0,$7654.67,,63.0,21.0,97.0,4.0,Carrier B,$136.00,Supplier 5,Bangalore,25.0,,2.0,$96.28,Pass,3.0,Rail,routeA,412.6,0.0
haircare,060800001,64860.0,9.0,201.0,$2932.01,Unknown,9.0,1.0,99.0,5.0,Carrier A,$855.00,,Mumbai,9.0,490.0,4.0,$25.52,Fail,1.66,Sea,route_B,500.06,0.0
skincare,060900007,42750.0,36.0,127.0,$6984.95,Unknown,94.0,7.0,58.0,7.0,Carrier B,$503.00,Supplier 4,Chennai,6.0,716.0,3.0,$74.77,Pass,0.05,Air,route_B,110.9,0.0
haircare,060900009,14100.0,86.0,257.0,$5482.36,Female,11.0,,58.0,9.0,Carrier A,$673.00,Supplier 4,Chennai,13.0,248.0,17.0,$65.3,Fail,1.0,Road,C,219.79,
cosmetics,060900019,,90.0,676.0,$7685.42,,99.0,9.0,51.0,6.0,,$299.00,Supplier 5,Mumbai,27.0,371.0,28.0,$71.17,Pending,0.57,Road,A route,864.71,860680.0
cosmetics,060900020,69430.0,58.0,547.0,$3943.4,Male,42.0,,84.0,6.0,Carrier C,$709.00,Supplier 5,Chennai,22.0,887.0,,,Pass,4.21,Air,routeC,980.23,0.0
haircare,060900021,68640.0,54.0,194.0,$9010.51,Non-binary,13.0,5.0,2.0,8.0,Carrier B,$795.00,Supplier 5,Mumbai,28.0,398.0,2.0,,Pass,1.29,Air,,242.15,0.0
cosmetics,060900022,82440.0,12.0,703.0,$1758.71,Non-binary,36.0,19.0,41.0,4.0,Carrier C,$526.00,Supplier 1,Bangalore,20.0,271.0,16.0,$71.58,Pass,1.42,Air,B,581.97,
haircare,060900023,53440.0,81.0,104.0,$8264.7,Unknown,13.0,10.0,83.0,3.0,Carrier C,$656.00,Supplier 5,,4.0,,11.0,$29.4,Fail,4.8,Air,c,969.7,818632.0
haircare,060900024,81690.0,78.0,535.0,$8751.88,Male,12.0,11.0,82.0,7.0,Carrier B,$511.00,Supplier 4,Chennai,2.0,725.0,25.0,$47.77,Pass,1.9,Air,routeB,240.92,
cosmetics,060900025,50310.0,14.0,265.0,$8355.27,Non-binary,37.0,25.0,16.0,,Carrier B,$905.00,Supplier 2,Mumbai,26.0,886.0,13.0,$26.94,Fail,0.05,Road,A route,267.68,1471337.0
haircare,060900026,7650.0,34.0,802.0,,Non-binary,74.0,15.0,4.0,2.0,,$548.00,Supplier 5,Mumbai,4.0,915.0,1.0,$10.75,,1.42,Sea,routeB,934.13,
cosmetics,060900028,41120.0,53.0,942.0,$4945.46,,73.0,,12.0,2.0,Carrier B,$858.00,Supplier 2,Chennai,8.0,306.0,25.0,$97.31,Fail,0.6,Air,B,735.12,1448217.0
skincare,060900030,50250.0,20.0,974.0,$9966.36,Unknown,52.0,15.0,29.0,6.0,Carrier C,$821.00,Supplier 4,Kolkata,13.0,552.0,23.0,$48.85,Pass,0.51,Air,A route,236.77,1412211.0
haircare,060900027,72300.0,75.0,384.0,,Non-binary,71.0,5.0,7.0,8.0,Carrier C,$469.00,Supplier 5,Mumbai,10.0,494.0,2.0,$97.24,Pending,0.39,Air,B route,454.14,509562.0
skincare,060900029,11550.0,16.0,260.0,,Female,,29.0,14.0,1.0,Carrier B,$307.00,Supplier 1,Chennai,18.0,853.0,2.0,$22.63,Pending,2.97,Rail,C,150.64,1220858.0
cosmetics,060900032,14860.0,95.0,414.0,$7036.08,Non-binary,56.0,19.0,12.0,6.0,Carrier C,$465.00,Supplier 1,,9.0,400.0,21.0,,Pass,0.95,Road,c,,0.0
skincare,060900033,27100.0,70.0,991.0,$7307.81,Female,60.0,22.0,99.0,2.0,Carrier A,$844.00,Supplier 2,Kolkata,1.0,807.0,29.0,$28.09,Fail,1.81,,b,800.11,0.0
,060900034,27380.0,56.0,358.0,$2836.22,Unknown,23.0,,5.0,2.0,Carrier C,$305.00,Supplier 1,Delhi,13.0,,5.0,$81.11,Fail,4.31,Sea,A route,598.57,1536301.0
cosmetics,060900035,73490.0,83.0,75.0,$6885.95,Non-binary,40.0,10.0,81.0,7.0,Carrier A,$572.00,Supplier 1,Kolkata,18.0,275.0,4.0,$80.53,Fail,2.12,Rail,route_A,682.7,1554304.0
skincare,9001672,,58.0,355.0,,Male,64.0,12.0,32.0,1.0,Carrier C,$825.00,Supplier 1,Bangalore,15.0,954.0,12.0,$20.13,Pending,4.58,Rail,C route,394.14,0.0
skincare,9001673,63680.0,4.0,584.0,$1450.17,Male,85.0,22.0,74.0,6.0,Carrier A,$418.00,Supplier 4,Chennai,2.0,882.0,26.0,,Pending,2.49,Rail,b,245.26,0.0
cosmetics,566447,49930.0,4.0,771.0,$9203.69,Non-binary,23.0,4.0,43.0,7.0,Carrier A,$678.00,Supplier 1,Kolkata,11.0,209.0,26.0,$27.52,Pending,1.99,Sea,routeA,111.81,0.0
skincare,HX8015,57760.0,20.0,910.0,$1265.54,Unknown,29.0,18.0,81.0,8.0,Carrier B,$321.00,Supplier 3,Delhi,29.0,783.0,29.0,,Fail,3.75,Sea,route_A,839.18,1882331.0
cosmetics,HX030302,,10.0,188.0,$4203.74,Unknown,78.0,16.0,69.0,7.0,Carrier A,$198.00,Supplier 5,Mumbai,14.0,963.0,28.0,$98.71,Fail,0.37,,C route,672.99,1036429.0
skincare,HX030301,41030.0,24.0,973.0,$1142.32,Male,90.0,8.0,45.0,6.0,Carrier B,$815.00,Supplier 1,Chennai,22.0,301.0,3.0,$89.42,Fail,0.45,Rail,routeC,306.39,1699192.0
cosmetics,020411-6,77320.0,99.0,685.0,$1694.31,,,4.0,9.0,9.0,,$189.00,Supplier 1,Kolkata,15.0,,20.0,$96.09,Pass,3.26,Road,route_A,476.59,1120552.0
cosmetics,020411-7,42780.0,,,$9200.51,Unknown,69.0,25.0,49.0,3.0,Carrier C,$344.00,Supplier 1,Delhi,14.0,713.0,10.0,$40.83,Pass,2.43,Rail,routeC,821.3,772056.0
skincare,HX020411-12,36030.0,,290.0,$4193.75,Male,95.0,23.0,33.0,6.0,Carrier C,$870.00,Supplier 3,Kolkata,16.0,185.0,20.0,$19.5,Pass,3.95,Sea,a,584.83,0.0
skincare,HX0101157,95900.0,85.0,45.0,$4822.94,Female,89.0,12.0,18.0,4.0,Carrier A,$412.00,Supplier 1,Bangalore,,753.0,18.0,$26.95,Pending,4.58,Rail,route_B,370.14,
skincare,HX020411-15,19250.0,54.0,573.0,,Non-binary,31.0,2.0,9.0,,Carrier C,$976.00,Supplier 1,Chennai,29.0,948.0,21.0,$55.04,,1.94,Air,route_C,340.47,0.0
