product_type,sku,estimated_price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,demurrage,demurrage_bin
haircare,2VST0050CB,70690.0,29.0,734.0,5056.18,Non-binary,40.0,28.0,80.0,7.0,Carrier B,495.0,Supplier 4,Chennai,1.0,504.0,7.0,29.25,Pending,3.77,Road,Route_C,936.16,0.0,False
cosmetics,2VST0080CB,91150.0,30.0,303.0,7048.5,Unknown,9.0,9.0,41.0,1.0,Carrier A,804.0,Supplier 1,Delhi,12.0,357.0,29.0,47.61,Pending,4.85,Rail,Route_B,324.51,1903735.0,True
haircare,2VRS0060CB,22730.0,4.0,579.0,1060.14,Non-binary,20.0,14.0,85.0,8.0,Carrier B,289.0,Supplier 2,Kolkata,17.0,724.0,22.0,33.08,Fail,0.17,Sea,Route_A,286.46,0.0,False
cosmetics,060600011,74430.0,27.0,648.0,2984.35,Unknown,95.0,10.0,48.0,9.0,Carrier B,781.0,Supplier 1,Chennai,5.0,271.0,23.0,91.94,Pending,4.48,Air,Route_B,480.54,0.0,False
haircare,060900005,40850.0,41.0,188.0,6555.24,Male,67.0,4.0,59.0,6.0,Carrier A,724.0,Supplier 3,Kolkata,26.0,121.0,2.0,55.46,Fail,0.98,Rail,Route_C,470.29,1890543.0,True
skincare,060900007,42750.0,36.0,127.0,6984.95,Unknown,94.0,7.0,58.0,7.0,Carrier B,503.0,Supplier 4,Chennai,6.0,716.0,3.0,74.77,Pass,0.05,Air,Route_B,110.9,0.0,False
skincare,060900030,50250.0,20.0,974.0,9966.36,Unknown,52.0,15.0,29.0,6.0,Carrier C,821.0,Supplier 4,Kolkata,13.0,552.0,23.0,48.85,Pass,0.51,Air,Route_A,236.77,1412211.0,True
cosmetics,060900035,73490.0,83.0,75.0,6885.95,Non-binary,40.0,10.0,81.0,7.0,Carrier A,572.0,Supplier 1,Kolkata,18.0,275.0,4.0,80.53,Fail,2.12,Rail,Route_A,682.7,1554304.0,True
cosmetics,566447,49930.0,4.0,771.0,9203.69,Non-binary,23.0,4.0,43.0,7.0,Carrier A,678.0,Supplier 1,Kolkata,11.0,209.0,26.0,27.52,Pending,1.99,Sea,Route_A,111.81,0.0,False
skincare,HX030301,41030.0,24.0,973.0,1142.32,Male,90.0,8.0,45.0,6.0,Carrier B,815.0,Supplier 1,Chennai,22.0,301.0,3.0,89.42,Fail,0.45,Rail,Route_C,306.39,1699192.0,True
skincare,HX0101053,44280.0,4.0,66.0,8964.68,Unknown,2.0,29.0,25.0,2.0,Carrier C,506.0,Supplier 3,Kolkata,5.0,541.0,10.0,40.71,Pass,4.56,Road,Route_C,874.11,0.0,False
haircare,HX0101010,72430.0,57.0,657.0,5441.51,Female,13.0,18.0,6.0,4.0,Carrier A,737.0,Supplier 3,Bangalore,11.0,676.0,6.0,52.03,Fail,3.86,Road,Route_A,324.54,0.0,False
skincare,HX004,14370.0,4.0,656.0,3280.21,Non-binary,99.0,2.0,4.0,2.0,Carrier B,258.0,Supplier 4,Chennai,28.0,109.0,21.0,27.46,Fail,4.83,Rail,Route_B,895.38,1407009.0,True
skincare,RK-CONT-LED120,54440.0,3.0,322.0,7936.68,Unknown,84.0,4.0,49.0,1.0,Carrier C,821.0,Supplier 3,Kolkata,18.0,397.0,18.0,32.74,Pass,1.38,Rail,Route_B,210.84,0.0,False
cosmetics,2VST0095CB,17040.0,88.0,450.0,4847.46,Non-binary,64.0,29.0,44.0,8.0,Carrier C,458.0,Supplier 1,Chennai,25.0,343.0,21.0,39.45,Pending,1.75,Sea,Route_C,443.93,0.0,False
haircare,2VST0070CB,84790.0,58.0,13.0,8197.47,Non-binary,83.0,13.0,75.0,6.0,Carrier A,311.0,Supplier 4,Mumbai,4.0,450.0,4.0,29.04,Pass,2.93,Sea,Route_C,413.05,0.0,False
skincare,2VST0022CB,41870.0,19.0,451.0,4702.06,Unknown,88.0,20.0,58.0,3.0,Carrier C,969.0,Supplier 1,Chennai,20.0,433.0,13.0,66.98,Pending,4.07,Sea,Route_C,585.73,781396.0,True
haircare,X2003320,1230.0,63.0,567.0,2299.49,Male,55.0,26.0,68.0,7.0,Carrier C,492.0,Supplier 1,Chennai,22.0,107.0,6.0,35.34,Fail,2.05,Air,Route_A,209.1,2494483.0,True
skincare,X2003325,96800.0,83.0,27.0,8055.89,Unknown,14.0,17.0,78.0,1.0,Carrier B,473.0,Supplier 5,Kolkata,22.0,251.0,19.0,85.68,Pass,2.62,Rail,Route_B,602.95,0.0,False
skincare,060100017,69370.0,64.0,913.0,4668.7,Male,89.0,10.0,98.0,5.0,Carrier B,433.0,Supplier 4,Mumbai,5.0,154.0,15.0,15.75,Fail,1.69,Rail,Route_C,590.79,2419575.0,True
cosmetics,060300023,65019.99999999999,47.0,726.0,8078.7,Male,45.0,9.0,29.0,8.0,Carrier B,896.0,Supplier 2,Bangalore,4.0,839.0,1.0,50.62,Pass,2.46,Road,Route_A,617.32,0.0,False
skincare,060300024,69620.0,75.0,31.0,9482.78,Unknown,77.0,4.0,3.0,9.0,Carrier B,876.0,Supplier 1,Bangalore,15.0,856.0,1.0,96.27,Pending,4.11,Rail,Route_C,261.59,0.0,False
skincare,060500024,12930.0,91.0,456.0,5980.42,Male,18.0,15.0,46.0,8.0,Carrier C,626.0,Supplier 3,Bangalore,26.0,360.0,2.0,24.06,Pass,4.82,Air,Route_B,647.5,2069068.0,True
skincare,062400043,6430.0,90.0,178.0,8283.92,Male,46.0,24.0,55.0,2.0,Carrier A,279.0,Supplier 3,Mumbai,19.0,130.0,13.0,99.88,Pass,4.66,Road,Route_B,891.05,0.0,False
skincare,060500030,65370.00000000001,10.0,408.0,3443.49,Female,98.0,16.0,61.0,7.0,Carrier B,550.0,Supplier 1,Bangalore,5.0,448.0,7.0,97.4,Fail,0.6,Air,Route_A,698.06,0.0,False
cosmetics,060100008,56510.0,3.0,22.0,3867.48,Unknown,3.0,15.0,44.0,1.0,Carrier C,976.0,Supplier 5,Chennai,2.0,511.0,16.0,68.94,Pass,2.81,Air,Route_A,983.74,0.0,False
haircare,101600001,53500.0,70.0,260.0,8459.84,Female,61.0,27.0,47.0,7.0,Carrier C,352.0,Supplier 3,Mumbai,10.0,495.0,18.0,97.48,Pass,4.86,Sea,Route_C,867.64,1188130.0,True
skincare,101300003,74050.0,26.0,631.0,4730.64,Non-binary,56.0,17.0,44.0,6.0,Carrier B,206.0,Supplier 5,Kolkata,20.0,464.0,5.0,98.01,Pending,2.71,Road,Route_B,723.77,899064.0,True
haircare,101300008,52500.0,69.0,927.0,1119.26,Female,94.0,22.0,74.0,7.0,Carrier C,689.0,Supplier 4,Chennai,28.0,212.0,16.0,49.1,Pass,4.78,Rail,Route_C,112.9,1360134.0,True
cosmetics,101600002,99040.0,49.0,354.0,4463.23,Male,96.0,28.0,30.0,7.0,Carrier A,881.0,Supplier 5,Chennai,26.0,481.0,16.0,51.29,Fail,3.6,Rail,Route_B,669.99,0.0,False
haircare,101600012,10080.0,41.0,726.0,6711.75,Female,27.0,23.0,58.0,6.0,Carrier A,680.0,Supplier 1,Delhi,9.0,541.0,9.0,84.96,Fail,0.55,Air,Route_A,768.21,0.0,False
skincare,2FIL0320GE,80000.0,7.0,577.0,7782.35,Male,48.0,20.0,30.0,6.0,Carrier C,805.0,Supplier 2,Chennai,7.0,850.0,17.0,52.17,Fail,3.45,Sea,Route_A,762.39,0.0,False
skincare,4VBA1466GE,98250.0,92.0,137.0,5920.17,Male,96.0,12.0,57.0,7.0,Carrier A,479.0,Supplier 5,Bangalore,7.0,366.0,19.0,25.5,Pass,1.4,Rail,Route_C,913.1,1942927.0,True
skincare,1VBA1800GE,74590.0,54.0,612.0,5461.33,Unknown,14.0,4.0,5.0,6.0,Carrier A,717.0,Supplier 3,Mumbai,7.0,361.0,12.0,32.03,Fail,3.52,Road,Route_A,381.99,1881581.0,True
haircare,1VMA0020GE,95770.0,82.0,972.0,7988.4,Male,78.0,7.0,27.0,1.0,Carrier B,757.0,Supplier 4,Mumbai,22.0,137.0,28.0,41.45,Fail,2.56,Rail,Route_A,816.93,2403081.0,True
haircare,1VRT0180GE,52310.0,33.0,471.0,8970.58,Female,15.0,6.0,29.0,8.0,Carrier C,162.0,Supplier 5,Mumbai,2.0,145.0,29.0,84.71,Pass,0.78,Rail,Route_B,685.13,0.0,False
skincare,2VRA0100GE,52010.0,15.0,828.0,7581.85,Female,79.0,21.0,33.0,3.0,Carrier C,317.0,Supplier 2,Chennai,18.0,814.0,19.0,76.49,Fail,0.85,Road,Route_B,111.54,848831.0,True
cosmetics,2FIL0240GE,49630.0,82.0,987.0,7275.48,Unknown,3.0,8.0,83.0,9.0,Carrier A,943.0,Supplier 2,Bangalore,24.0,332.0,27.0,29.04,Pass,3.78,Sea,Route_A,955.58,0.0,False
skincare,1VSN0230GE,48190.0,57.0,929.0,1120.31,Male,34.0,26.0,69.0,3.0,Carrier C,159.0,Supplier 1,Delhi,21.0,860.0,16.0,58.79,Fail,1.55,Air,Route_C,602.19,0.0,False
haircare,1VSN0220GE,5390.0,37.0,536.0,4687.65,Male,62.0,25.0,49.0,3.0,Carrier A,272.0,Supplier 2,Kolkata,24.0,680.0,20.0,78.89,Pending,4.35,Rail,Route_A,933.56,1057339.0,True
skincare,1VGT0030GE,85370.0,58.0,876.0,6829.97,Female,79.0,20.0,26.0,1.0,Carrier B,467.0,Supplier 4,Chennai,12.0,129.0,8.0,85.61,Pass,0.85,Rail,Route_C,191.83,0.0,False
cosmetics,1VBA0320GE,28860.0,87.0,793.0,5313.34,Male,71.0,19.0,28.0,5.0,Carrier C,214.0,Supplier 4,Kolkata,25.0,591.0,25.0,43.82,Pass,4.08,Rail,Route_C,432.73,0.0,False
haircare,1VBA0360GE,26010.0,90.0,606.0,2635.51,Non-binary,93.0,4.0,33.0,9.0,Carrier A,153.0,Supplier 5,Kolkata,4.0,926.0,21.0,98.42,Fail,4.66,Rail,Route_A,250.39,0.0,False
haircare,1VBA0560GE,5830.0,49.0,852.0,5910.27,Unknown,25.0,13.0,18.0,9.0,Carrier C,257.0,Supplier 5,Mumbai,18.0,410.0,4.0,28.13,Pass,2.93,Road,Route_B,465.51,0.0,False
haircare,1VBG0770GE,96250.0,89.0,723.0,5054.31,Non-binary,14.0,24.0,26.0,2.0,Carrier B,114.0,Supplier 5,Delhi,1.0,254.0,16.0,38.92,Pass,1.29,Road,Route_A,986.95,1860095.0,True
haircare,1VBG0820GE,99160.0,61.0,810.0,3083.94,Non-binary,54.0,11.0,39.0,8.0,Carrier C,556.0,Supplier 4,Mumbai,16.0,712.0,27.0,56.47,Fail,4.38,Sea,Route_A,259.67,0.0,False
haircare,1VDD0140GE,52090.0,50.0,502.0,5017.48,Non-binary,78.0,26.0,48.0,9.0,Carrier A,366.0,Supplier 1,Kolkata,7.0,641.0,23.0,52.13,Pending,2.17,Air,Route_A,699.1,0.0,False
haircare,1VDD0340GE,57560.0,71.0,871.0,7563.11,Male,56.0,10.0,38.0,6.0,Carrier C,884.0,Supplier 3,Chennai,2.0,338.0,21.0,48.28,Pass,4.85,Road,Route_C,901.42,0.0,False
haircare,1VMG0100GE,66550.0,86.0,540.0,6475.68,Unknown,94.0,6.0,2.0,1.0,Carrier C,273.0,Supplier 1,Bangalore,3.0,112.0,13.0,64.37,Fail,1.48,Sea,Route_A,490.58,0.0,False
cosmetics,2VAB0010PR,12470.0,39.0,855.0,6448.71,Non-binary,42.0,10.0,89.0,6.0,Carrier A,110.0,Supplier 3,Chennai,10.0,663.0,6.0,53.78,Pending,2.44,Rail,Route_C,761.16,0.0,False
skincare,1VMP0104GE,99020.0,79.0,235.0,4879.78,Female,43.0,21.0,82.0,1.0,Carrier C,768.0,Supplier 2,Delhi,13.0,131.0,14.0,20.96,Pending,4.26,Rail,Route_B,339.47,0.0,False
skincare,1VSN0760GE,82770.0,6.0,770.0,7962.96,Unknown,77.0,17.0,2.0,4.0,Carrier A,270.0,Supplier 3,Mumbai,12.0,968.0,29.0,67.48,Pass,2.16,Sea,Route_A,321.79,0.0,False
cosmetics,3PSF0030GE,91040.0,11.0,614.0,8723.08,Non-binary,30.0,21.0,46.0,1.0,Carrier A,293.0,Supplier 4,Mumbai,10.0,407.0,8.0,52.83,Pending,2.5,Rail,Route_A,945.28,0.0,False
cosmetics,TPVCFB10250380,86940.0,55.0,378.0,8314.42,Male,86.0,6.0,49.0,1.0,Carrier B,645.0,Supplier 2,Delhi,19.0,803.0,2.0,13.15,Fail,4.47,Air,Route_B,161.6,1303440.0,True
skincare,TPVCFB15250380,47680.0,15.0,230.0,8439.87,Non-binary,49.0,12.0,64.0,1.0,Carrier A,880.0,Supplier 3,Chennai,17.0,332.0,26.0,91.84,Pending,3.34,Rail,Route_A,411.49,2300715.0,True
cosmetics,TPVCFB22070380,54780.0,48.0,833.0,9127.84,Unknown,52.0,4.0,2.0,8.0,Carrier C,772.0,Supplier 4,Delhi,14.0,709.0,9.0,68.43,Pending,2.25,Rail,Route_C,837.98,1347587.0,True
haircare,LNB11101065000,60230.0,92.0,699.0,3809.77,Non-binary,27.0,17.0,90.0,4.0,Carrier B,823.0,Supplier 3,Mumbai,6.0,416.0,22.0,54.11,Fail,3.52,Sea,Route_B,870.18,0.0,False
skincare,MN211132070310,40160.0,16.0,954.0,6744.9,Female,99.0,29.0,40.0,7.0,Carrier A,830.0,Supplier 3,Delhi,15.0,459.0,13.0,41.09,Pending,2.19,Road,Route_B,536.13,0.0,False
haircare,VN400210650000,2820.0,69.0,647.0,4987.53,Male,31.0,1.0,11.0,8.0,Carrier A,147.0,Supplier 1,Kolkata,11.0,108.0,5.0,76.24,Fail,4.43,Sea,Route_A,655.71,2195706.0,True
cosmetics,VCNV5600106500,8170.0,20.0,331.0,9542.81,Female,87.0,28.0,31.0,2.0,Carrier C,565.0,Supplier 4,Chennai,14.0,525.0,19.0,70.2,Pass,0.66,Rail,Route_C,705.8,0.0,False
cosmetics,VN400313750000,53890.0,34.0,776.0,8495.49,Non-binary,89.0,22.0,33.0,8.0,Carrier B,787.0,Supplier 5,Delhi,9.0,916.0,19.0,68.95,Pass,0.57,Rail,Route_C,261.04,2114400.0,True
skincare,VCNV5601127500,82630.0,99.0,729.0,1990.57,Non-binary,22.0,14.0,46.0,3.0,Carrier C,657.0,Supplier 1,Chennai,21.0,690.0,20.0,85.23,Pass,4.81,Road,Route_B,523.86,0.0,False
haircare,PFCB1201830500,67370.0,60.0,195.0,7730.15,Female,1.0,18.0,27.0,3.0,Carrier B,254.0,Supplier 5,Mumbai,11.0,202.0,21.0,40.32,Pending,4.73,Rail,Route_A,162.67,0.0,False
skincare,PFCB1222441000,89730.0,66.0,157.0,2837.5,Non-binary,93.0,22.0,21.0,9.0,Carrier A,481.0,Supplier 1,Mumbai,10.0,413.0,5.0,78.7,Fail,0.75,Air,Route_B,292.91,2090034.0,True
skincare,VFLS6510124230,59880.0,47.0,610.0,1381.08,Male,70.0,2.0,58.0,6.0,Carrier C,563.0,Supplier 5,Kolkata,1.0,346.0,16.0,77.09,Pass,2.12,Road,Route_B,523.93,1019786.0,True
haircare,TPVCRM32050440,62040.0,73.0,226.0,6217.54,Male,37.0,7.0,5.0,9.0,Carrier A,254.0,Supplier 1,Chennai,26.0,333.0,26.0,32.12,Pass,0.93,Rail,Route_B,513.5,0.0,False
haircare,LNM11101065000,48960.0,30.0,516.0,5093.85,Male,61.0,9.0,20.0,7.0,Carrier B,181.0,Supplier 1,Delhi,26.0,137.0,23.0,25.56,Pass,4.92,Air,Route_A,388.53,0.0,False
skincare,VN201310610000,17240.0,85.0,608.0,8504.13,Non-binary,74.0,14.0,67.0,5.0,Carrier A,631.0,Supplier 4,Mumbai,7.0,747.0,4.0,74.99,Pass,4.28,Air,Route_B,929.03,1731357.0,True
skincare,VIIV2600152500,54710.0,94.0,25.0,4378.97,Male,71.0,23.0,77.0,2.0,Carrier A,507.0,Supplier 2,Chennai,22.0,143.0,13.0,25.09,Fail,4.68,Rail,Route_B,574.05,2078735.0,True
cosmetics,TPVCFM32050380,21150.0,16.0,461.0,7220.91,Male,81.0,7.0,84.0,4.0,Carrier C,235.0,Supplier 3,Chennai,13.0,889.0,10.0,76.94,Pending,4.07,Air,Route_B,217.01,0.0,False
skincare,TPVCBB25050440,18250.0,66.0,456.0,6570.92,Female,70.0,12.0,69.0,9.0,Carrier A,328.0,Supplier 3,Bangalore,8.0,157.0,10.0,15.26,Pending,1.83,Road,Route_A,925.71,0.0,False
cosmetics,TPVCFM32050440,54790.0,20.0,49.0,9027.04,Female,83.0,12.0,76.0,1.0,Carrier A,217.0,Supplier 5,Delhi,20.0,865.0,21.0,84.57,Pass,4.63,Sea,Route_C,193.9,0.0,False
cosmetics,8519849,51890.0,1.0,687.0,3754.46,Female,18.0,7.0,77.0,5.0,Carrier B,279.0,Supplier 5,Mumbai,26.0,770.0,20.0,61.27,Pending,0.16,Air,Route_A,101.29,1017296.0,True
haircare,VNIVR200112750,79500.0,58.0,569.0,1497.0,Unknown,26.0,26.0,47.0,3.0,Carrier A,505.0,Supplier 5,Chennai,4.0,194.0,13.0,33.28,Pass,3.95,Air,Route_B,456.02,1397174.0,True
cosmetics,VNIVR200113750,65850.0,25.0,559.0,9481.45,Male,77.0,17.0,44.0,1.0,Carrier C,120.0,Supplier 3,Chennai,9.0,592.0,14.0,52.13,Pass,2.65,Road,Route_B,997.13,0.0,False
haircare,PAI271012224401,83760.0,99.0,753.0,2029.88,Male,97.0,27.0,96.0,6.0,Carrier C,475.0,Supplier 3,Mumbai,19.0,498.0,16.0,62.44,Pending,2.77,Road,Route_C,372.13,1497312.0,True
skincare,TSSK4AMARILLO0,66600.0,91.0,736.0,1688.32,Male,80.0,6.0,90.0,2.0,Carrier A,961.0,Supplier 3,Mumbai,6.0,242.0,2.0,43.6,Pending,3.85,Sea,Route_B,956.63,0.0,False
skincare,CORTALASER1325,31900.0,91.0,277.0,1887.25,Male,26.0,18.0,55.0,2.0,Carrier A,911.0,Supplier 1,Delhi,20.0,360.0,5.0,39.29,Fail,2.73,Sea,Route_C,569.8,0.0,False
skincare,3MGM0130WI,60270.0,72.0,574.0,5306.47,Female,29.0,10.0,29.0,8.0,Carrier C,493.0,Supplier 5,Kolkata,26.0,109.0,4.0,78.55,Fail,4.29,Sea,Route_C,361.91,0.0,False
cosmetics,3MXP0760WI,86560.0,84.0,331.0,7886.44,Non-binary,90.0,9.0,23.0,7.0,Carrier B,308.0,Supplier 3,Bangalore,29.0,900.0,6.0,13.26,Pending,1.86,Road,Route_C,801.68,0.0,False
skincare,3MXP4060WI,23880.0,19.0,492.0,6036.21,Female,97.0,6.0,32.0,9.0,Carrier B,267.0,Supplier 5,Delhi,15.0,896.0,9.0,81.24,Fail,3.87,Rail,Route_B,683.28,1234699.0,True
skincare,3MXP4180WI,6120.0,47.0,582.0,7183.35,Unknown,74.0,4.0,61.0,8.0,Carrier B,980.0,Supplier 2,Delhi,19.0,730.0,28.0,95.99,Pass,1.22,Rail,Route_C,876.76,0.0,False
cosmetics,3MXP4520WI,11230.0,36.0,252.0,7286.78,Female,76.0,4.0,70.0,3.0,Carrier C,482.0,Supplier 1,Bangalore,12.0,350.0,27.0,70.66,Pending,4.53,Air,Route_A,119.77,0.0,False
haircare,3TBH0400WI,40340.0,30.0,832.0,9129.68,Unknown,41.0,8.0,84.0,7.0,Carrier B,975.0,Supplier 3,Delhi,17.0,801.0,21.0,15.22,Pass,4.45,Rail,Route_C,809.98,0.0,False
haircare,3TBH1600WI,68910.0,64.0,90.0,8360.71,Male,15.0,22.0,68.0,2.0,Carrier C,760.0,Supplier 4,Bangalore,28.0,735.0,28.0,14.75,Pass,0.43,Rail,Route_C,831.12,2340109.0,True
cosmetics,3MGP0140WI,26170.0,75.0,601.0,4624.98,Non-binary,64.0,8.0,11.0,5.0,Carrier B,267.0,Supplier 3,Bangalore,13.0,724.0,9.0,53.32,Pass,4.87,Rail,Route_A,528.83,0.0,False
haircare,3TBH0040WI,53690.0,59.0,983.0,7674.42,Male,2.0,14.0,90.0,8.0,Carrier B,719.0,Supplier 2,Chennai,16.0,345.0,4.0,63.32,Pending,0.4,Road,Route_B,874.94,1577048.0,True
skincare,1VMG0040GE,16460.0,86.0,883.0,6434.66,Unknown,63.0,3.0,12.0,9.0,Carrier A,241.0,Supplier 4,Bangalore,10.0,830.0,16.0,23.22,Pending,1.64,Rail,Route_C,654.68,0.0,False
haircare,1VGF0050GE,25170.0,12.0,245.0,4037.32,Female,38.0,20.0,6.0,9.0,Carrier A,919.0,Supplier 2,Mumbai,6.0,955.0,25.0,43.79,Pending,2.23,Sea,Route_A,657.48,0.0,False
cosmetics,1VBS0580GE,82860.0,20.0,478.0,6300.4,Non-binary,2.0,3.0,61.0,9.0,Carrier B,890.0,Supplier 3,Chennai,6.0,576.0,26.0,46.05,Pending,4.43,Road,Route_A,732.08,0.0,False
skincare,1VRT0400GE,11800.0,96.0,754.0,9536.53,Non-binary,75.0,25.0,79.0,5.0,Carrier C,182.0,Supplier 3,Chennai,13.0,291.0,11.0,56.5,Pending,4.78,Rail,Route_C,175.95,0.0,False
haircare,3300,65400.00000000001,65.0,854.0,9501.99,Male,85.0,21.0,26.0,5.0,Carrier A,683.0,Supplier 1,Delhi,26.0,639.0,1.0,30.26,Fail,2.17,Air,Route_C,455.46,0.0,False
haircare,250H,44380.0,87.0,44.0,8072.31,Female,55.0,13.0,71.0,5.0,Carrier A,712.0,Supplier 4,Mumbai,2.0,176.0,26.0,57.48,Fail,4.38,Sea,Route_C,756.41,0.0,False
skincare,060700092,87910.0,40.0,421.0,1057.92,Female,24.0,10.0,31.0,8.0,Carrier C,634.0,Supplier 2,Chennai,22.0,983.0,16.0,28.71,Fail,2.48,Sea,Route_B,688.09,1881746.0,True
cosmetics,2506-W,55300.0,22.0,728.0,7069.6,Male,49.0,26.0,63.0,6.0,Carrier C,503.0,Supplier 3,Chennai,25.0,216.0,6.0,40.61,Pass,0.76,Road,Route_B,285.61,0.0,False
haircare,AN0487,95200.0,28.0,155.0,8676.84,Female,15.0,11.0,64.0,4.0,Carrier C,155.0,Supplier 2,Mumbai,4.0,268.0,28.0,69.97,Fail,2.62,Road,Route_A,821.31,1330565.0,True
cosmetics,1535,81560.0,76.0,451.0,8164.07,Male,90.0,13.0,54.0,8.0,Carrier A,897.0,Supplier 4,Delhi,12.0,816.0,22.0,77.96,Pending,3.27,Rail,Route_A,934.11,1825786.0,True
cosmetics,1514,11780.0,45.0,876.0,7783.61,Unknown,52.0,2.0,86.0,2.0,Carrier C,299.0,Supplier 1,Chennai,23.0,909.0,3.0,82.34,Fail,1.54,Rail,Route_A,509.82,1973817.0,True
skincare,2540-C,25360.0,66.0,10.0,5191.14,Non-binary,26.0,20.0,53.0,4.0,Carrier B,886.0,Supplier 2,Bangalore,5.0,976.0,24.0,20.25,Pass,4.25,Sea,Route_A,722.87,0.0,False
skincare,AN5005-2A3,74940.0,55.0,760.0,9301.31,Unknown,49.0,16.0,11.0,1.0,Carrier A,863.0,Supplier 3,Chennai,11.0,112.0,5.0,95.83,Fail,2.67,Rail,Route_C,663.84,428212.0,True
cosmetics,5023,89770.0,6.0,129.0,6116.18,Unknown,66.0,17.0,19.0,2.0,Carrier B,589.0,Supplier 5,Bangalore,25.0,319.0,12.0,98.06,Fail,2.34,Sea,Route_C,819.56,0.0,False
haircare,2TFD0050AY,17470.0,90.0,404.0,3862.45,Unknown,56.0,6.0,26.0,6.0,Carrier C,239.0,Supplier 1,Chennai,28.0,325.0,7.0,34.43,Fail,0.92,Rail,Route_C,265.07,0.0,False
skincare,2TFD0180AY,67340.0,83.0,675.0,1787.94,Male,49.0,22.0,15.0,6.0,Carrier A,719.0,Supplier 2,Bangalore,14.0,321.0,14.0,87.75,Fail,4.26,Rail,Route_A,813.99,1154336.0,True
cosmetics,1VCT0440GE,72050.0,40.0,858.0,3643.98,Non-binary,52.0,17.0,23.0,6.0,Carrier B,920.0,Supplier 5,Mumbai,12.0,920.0,17.0,90.11,Pending,0.7,Sea,Route_B,167.89,0.0,False
cosmetics,1VMG0280GE,82490.0,48.0,274.0,6375.63,Male,46.0,5.0,75.0,8.0,Carrier C,310.0,Supplier 4,Mumbai,20.0,796.0,25.0,99.65,Pass,0.21,Sea,Route_B,102.81,0.0,False
skincare,1VRD0180GE,80180.0,13.0,980.0,6576.54,Non-binary,54.0,22.0,29.0,9.0,Carrier B,113.0,Supplier 5,Bangalore,23.0,782.0,8.0,44.88,Fail,1.77,Rail,Route_B,323.49,0.0,False
skincare,1VBS0150GE,30230.0,49.0,91.0,5556.97,Unknown,1.0,15.0,18.0,5.0,Carrier A,996.0,Supplier 4,Delhi,1.0,332.0,3.0,15.04,Pending,0.9,Rail,Route_C,770.43,0.0,False
