product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs
haircare,1MES0046GE,14.97,22.0,277.0,1615.01,Female,10.0,16.0,22.0,1.0,Carrier B,5.65,Supplier 5,Mumbai,24.0,389.0,25.0,93.7,Fail,1.39,Sea,Route_A,863.91
haircare,2VST0050CB,70.69,29.0,734.0,5056.18,Non-binary,40.0,28.0,80.0,7.0,Carrier B,4.95,Supplier 4,Chennai,1.0,504.0,7.0,29.25,Pending,3.77,Road,Route_C,936.16
cosmetics,2VST0080CB,91.15,30.0,303.0,7048.5,Unknown,9.0,9.0,41.0,1.0,Carrier A,8.04,Supplier 1,Delhi,12.0,357.0,29.0,47.61,Pending,4.85,Rail,Route_B,324.51
haircare,2VRS0060CB,22.73,4.0,579.0,1060.14,Non-binary,20.0,14.0,85.0,8.0,Carrier B,2.89,Supplier 2,Kolkata,17.0,724.0,22.0,33.08,Fail,0.17,Sea,Route_A,286.46
cosmetics,060600011,74.43,27.0,648.0,2984.35,Unknown,95.0,10.0,48.0,9.0,Carrier B,7.81,Supplier 1,Chennai,5.0,271.0,23.0,91.94,Pending,4.48,Air,Route_B,480.54
haircare,060900005,40.85,41.0,188.0,6555.24,Male,67.0,4.0,59.0,6.0,Carrier A,7.24,Supplier 3,Kolkata,26.0,121.0,2.0,55.46,Fail,0.98,Rail,Route_C,470.29
skincare,060900007,42.75,36.0,127.0,6984.95,Unknown,94.0,7.0,58.0,7.0,Carrier B,5.03,Supplier 4,Chennai,6.0,716.0,3.0,74.77,Pass,0.05,Air,Route_B,110.9
cosmetics,060900022,82.44,12.0,703.0,1758.71,Non-binary,36.0,19.0,41.0,4.0,Carrier C,5.26,Supplier 1,Bangalore,20.0,271.0,16.0,71.58,Pass,1.42,Air,Route_B,581.97
haircare,060900024,81.69,78.0,535.0,8751.88,Male,12.0,11.0,82.0,7.0,Carrier B,5.11,Supplier 4,Chennai,2.0,725.0,25.0,47.77,Pass,1.9,Air,Route_B,240.92
skincare,060900030,50.25,20.0,974.0,9966.36,Unknown,52.0,15.0,29.0,6.0,Carrier C,8.21,Supplier 4,Kolkata,13.0,552.0,23.0,48.85,Pass,0.51,Air,Route_A,236.77
cosmetics,060900035,73.49,83.0,75.0,6885.95,Non-binary,40.0,10.0,81.0,7.0,Carrier A,5.72,Supplier 1,Kolkata,18.0,275.0,4.0,80.53,Fail,2.12,Rail,Route_A,682.7
cosmetics,566447,49.93,4.0,771.0,9203.69,Non-binary,23.0,4.0,43.0,7.0,Carrier A,6.78,Supplier 1,Kolkata,11.0,209.0,26.0,27.52,Pending,1.99,Sea,Route_A,111.81
skincare,HX030301,41.03,24.0,973.0,1142.32,Male,90.0,8.0,45.0,6.0,Carrier B,8.15,Supplier 1,Chennai,22.0,301.0,3.0,89.42,Fail,0.45,Rail,Route_C,306.39
haircare,HX0101127,77.33,74.0,123.0,6353.23,Female,20.0,5.0,57.0,1.0,Carrier B,3.41,Supplier 3,Delhi,19.0,150.0,21.0,23.51,Pass,2.5,Rail,Route_B,841.36
skincare,HX0101053,44.28,4.0,66.0,8964.68,Unknown,2.0,29.0,25.0,2.0,Carrier C,5.06,Supplier 3,Kolkata,5.0,541.0,10.0,40.71,Pass,4.56,Road,Route_C,874.11
haircare,HX0101010,72.43,57.0,657.0,5441.51,Female,13.0,18.0,6.0,4.0,Carrier A,7.37,Supplier 3,Bangalore,11.0,676.0,6.0,52.03,Fail,3.86,Road,Route_A,324.54
skincare,HX004,14.37,4.0,656.0,3280.21,Non-binary,99.0,2.0,4.0,2.0,Carrier B,2.58,Supplier 4,Chennai,28.0,109.0,21.0,27.46,Fail,4.83,Rail,Route_B,895.38
skincare,RK-CONT-LED120,54.44,3.0,322.0,7936.68,Unknown,84.0,4.0,49.0,1.0,Carrier C,8.21,Supplier 3,Kolkata,18.0,397.0,18.0,32.74,Pass,1.38,Rail,Route_B,210.84
cosmetics,2VST0095CB,17.04,88.0,450.0,4847.46,Non-binary,64.0,29.0,44.0,8.0,Carrier C,4.58,Supplier 1,Chennai,25.0,343.0,21.0,39.45,Pending,1.75,Sea,Route_C,443.93
haircare,2VST0070CB,84.79,58.0,13.0,8197.47,Non-binary,83.0,13.0,75.0,6.0,Carrier A,3.11,Supplier 4,Mumbai,4.0,450.0,4.0,29.04,Pass,2.93,Sea,Route_C,413.05
skincare,2VST0022CB,41.87,19.0,451.0,4702.06,Unknown,88.0,20.0,58.0,3.0,Carrier C,9.69,Supplier 1,Chennai,20.0,433.0,13.0,66.98,Pending,4.07,Sea,Route_C,585.73
haircare,X2003320,1.23,63.0,567.0,2299.49,Male,55.0,26.0,68.0,7.0,Carrier C,4.92,Supplier 1,Chennai,22.0,107.0,6.0,35.34,Fail,2.05,Air,Route_A,209.1
skincare,X2003325,96.8,83.0,27.0,8055.89,Unknown,14.0,17.0,78.0,1.0,Carrier B,4.73,Supplier 5,Kolkata,22.0,251.0,19.0,85.68,Pass,2.62,Rail,Route_B,602.95
skincare,060100017,69.37,64.0,913.0,4668.7,Male,89.0,10.0,98.0,5.0,Carrier B,4.33,Supplier 4,Mumbai,5.0,154.0,15.0,15.75,Fail,1.69,Rail,Route_C,590.79
cosmetics,060300023,65.02,47.0,726.0,8078.7,Male,45.0,9.0,29.0,8.0,Carrier B,8.96,Supplier 2,Bangalore,4.0,839.0,1.0,50.62,Pass,2.46,Road,Route_A,617.32
skincare,060300024,69.62,75.0,31.0,9482.78,Unknown,77.0,4.0,3.0,9.0,Carrier B,8.76,Supplier 1,Bangalore,15.0,856.0,1.0,96.27,Pending,4.11,Rail,Route_C,261.59
skincare,060500024,12.93,91.0,456.0,5980.42,Male,18.0,15.0,46.0,8.0,Carrier C,6.26,Supplier 3,Bangalore,26.0,360.0,2.0,24.06,Pass,4.82,Air,Route_B,647.5
skincare,062400043,6.43,90.0,178.0,8283.92,Male,46.0,24.0,55.0,2.0,Carrier A,2.79,Supplier 3,Mumbai,19.0,130.0,13.0,99.88,Pass,4.66,Road,Route_B,891.05
skincare,060500030,65.37,10.0,408.0,3443.49,Female,98.0,16.0,61.0,7.0,Carrier B,5.5,Supplier 1,Bangalore,5.0,448.0,7.0,97.4,Fail,0.6,Air,Route_A,698.06
cosmetics,060100008,56.51,3.0,22.0,3867.48,Unknown,3.0,15.0,44.0,1.0,Carrier C,9.76,Supplier 5,Chennai,2.0,511.0,16.0,68.94,Pass,2.81,Air,Route_A,983.74
haircare,101600001,53.5,70.0,260.0,8459.84,Female,61.0,27.0,47.0,7.0,Carrier C,3.52,Supplier 3,Mumbai,10.0,495.0,18.0,97.48,Pass,4.86,Sea,Route_C,867.64
skincare,101300003,74.05,26.0,631.0,4730.64,Non-binary,56.0,17.0,44.0,6.0,Carrier B,2.06,Supplier 5,Kolkata,20.0,464.0,5.0,98.01,Pending,2.71,Road,Route_B,723.77
haircare,101300008,52.5,69.0,927.0,1119.26,Female,94.0,22.0,74.0,7.0,Carrier C,6.89,Supplier 4,Chennai,28.0,212.0,16.0,49.1,Pass,4.78,Rail,Route_C,112.9
cosmetics,101600002,99.04,49.0,354.0,4463.23,Male,96.0,28.0,30.0,7.0,Carrier A,8.81,Supplier 5,Chennai,26.0,481.0,16.0,51.29,Fail,3.6,Rail,Route_B,669.99
haircare,101600012,10.08,41.0,726.0,6711.75,Female,27.0,23.0,58.0,6.0,Carrier A,6.8,Supplier 1,Delhi,9.0,541.0,9.0,84.96,Fail,0.55,Air,Route_A,768.21
skincare,2FIL0320GE,80.0,7.0,577.0,7782.35,Male,48.0,20.0,30.0,6.0,Carrier C,8.05,Supplier 2,Chennai,7.0,850.0,17.0,52.17,Fail,3.45,Sea,Route_A,762.39
skincare,4VBA1466GE,98.25,92.0,137.0,5920.17,Male,96.0,12.0,57.0,7.0,Carrier A,4.79,Supplier 5,Bangalore,7.0,366.0,19.0,25.5,Pass,1.4,Rail,Route_C,913.1
skincare,1VBA0100GE,60.48,10.0,674.0,1199.27,Male,47.0,25.0,20.0,5.0,Carrier C,4.39,Supplier 5,Mumbai,19.0,693.0,27.0,99.11,Fail,2.07,Sea,Route_B,328.25
skincare,1VBA1800GE,74.59,54.0,612.0,5461.33,Unknown,14.0,4.0,5.0,6.0,Carrier A,7.17,Supplier 3,Mumbai,7.0,361.0,12.0,32.03,Fail,3.52,Road,Route_A,381.99
haircare,1VMA0020GE,95.77,82.0,972.0,7988.4,Male,78.0,7.0,27.0,1.0,Carrier B,7.57,Supplier 4,Mumbai,22.0,137.0,28.0,41.45,Fail,2.56,Rail,Route_A,816.93
haircare,1VRT0180GE,52.31,33.0,471.0,8970.58,Female,15.0,6.0,29.0,8.0,Carrier C,1.62,Supplier 5,Mumbai,2.0,145.0,29.0,84.71,Pass,0.78,Rail,Route_B,685.13
skincare,2VRA0100GE,52.01,15.0,828.0,7581.85,Female,79.0,21.0,33.0,3.0,Carrier C,3.17,Supplier 2,Chennai,18.0,814.0,19.0,76.49,Fail,0.85,Road,Route_B,111.54
cosmetics,2FIL0240GE,49.63,82.0,987.0,7275.48,Unknown,3.0,8.0,83.0,9.0,Carrier A,9.43,Supplier 2,Bangalore,24.0,332.0,27.0,29.04,Pass,3.78,Sea,Route_A,955.58
skincare,1VSN0500GE,75.04,15.0,175.0,2146.48,Female,88.0,14.0,7.0,2.0,Carrier A,4.02,Supplier 5,Chennai,2.0,938.0,20.0,82.4,Pending,0.08,Rail,Route_A,436.19
skincare,1VSN0230GE,48.19,57.0,929.0,1120.31,Male,34.0,26.0,69.0,3.0,Carrier C,1.59,Supplier 1,Delhi,21.0,860.0,16.0,58.79,Fail,1.55,Air,Route_C,602.19
haircare,1VSN0220GE,5.39,37.0,536.0,4687.65,Male,62.0,25.0,49.0,3.0,Carrier A,2.72,Supplier 2,Kolkata,24.0,680.0,20.0,78.89,Pending,4.35,Rail,Route_A,933.56
skincare,1VGT0030GE,85.37,58.0,876.0,6829.97,Female,79.0,20.0,26.0,1.0,Carrier B,4.67,Supplier 4,Chennai,12.0,129.0,8.0,85.61,Pass,0.85,Rail,Route_C,191.83
cosmetics,1VBA0320GE,28.86,87.0,793.0,5313.34,Male,71.0,19.0,28.0,5.0,Carrier C,2.14,Supplier 4,Kolkata,25.0,591.0,25.0,43.82,Pass,4.08,Rail,Route_C,432.73
haircare,1VBA0360GE,26.01,90.0,606.0,2635.51,Non-binary,93.0,4.0,33.0,9.0,Carrier A,1.53,Supplier 5,Kolkata,4.0,926.0,21.0,98.42,Fail,4.66,Rail,Route_A,250.39
haircare,1VBA0560GE,5.83,49.0,852.0,5910.27,Unknown,25.0,13.0,18.0,9.0,Carrier C,2.57,Supplier 5,Mumbai,18.0,410.0,4.0,28.13,Pass,2.93,Road,Route_B,465.51
haircare,1VBG0770GE,96.25,89.0,723.0,5054.31,Non-binary,14.0,24.0,26.0,2.0,Carrier B,1.14,Supplier 5,Delhi,1.0,254.0,16.0,38.92,Pass,1.29,Road,Route_A,986.95
haircare,1VBG0820GE,99.16,61.0,810.0,3083.94,Non-binary,54.0,11.0,39.0,8.0,Carrier C,5.56,Supplier 4,Mumbai,16.0,712.0,27.0,56.47,Fail,4.38,Sea,Route_A,259.67
haircare,1VDD0140GE,52.09,50.0,502.0,5017.48,Non-binary,78.0,26.0,48.0,9.0,Carrier A,3.66,Supplier 1,Kolkata,7.0,641.0,23.0,52.13,Pending,2.17,Air,Route_A,699.1
haircare,1VDD0340GE,57.56,71.0,871.0,7563.11,Male,56.0,10.0,38.0,6.0,Carrier C,8.84,Supplier 3,Chennai,2.0,338.0,21.0,48.28,Pass,4.85,Road,Route_C,901.42
haircare,1VMG0100GE,66.55,86.0,540.0,6475.68,Unknown,94.0,6.0,2.0,1.0,Carrier C,2.73,Supplier 1,Bangalore,3.0,112.0,13.0,64.37,Fail,1.48,Sea,Route_A,490.58
cosmetics,2VAB0010PR,12.47,39.0,855.0,6448.71,Non-binary,42.0,10.0,89.0,6.0,Carrier A,1.1,Supplier 3,Chennai,10.0,663.0,6.0,53.78,Pending,2.44,Rail,Route_C,761.16
skincare,1VMP0104GE,99.02,79.0,235.0,4879.78,Female,43.0,21.0,82.0,1.0,Carrier C,7.68,Supplier 2,Delhi,13.0,131.0,14.0,20.96,Pending,4.26,Rail,Route_B,339.47
skincare,1VSN0760GE,82.77,6.0,770.0,7962.96,Unknown,77.0,17.0,2.0,4.0,Carrier A,2.7,Supplier 3,Mumbai,12.0,968.0,29.0,67.48,Pass,2.16,Sea,Route_A,321.79
cosmetics,3PSF0030GE,91.04,11.0,614.0,8723.08,Non-binary,30.0,21.0,46.0,1.0,Carrier A,2.93,Supplier 4,Mumbai,10.0,407.0,8.0,52.83,Pending,2.5,Rail,Route_A,945.28
cosmetics,TPVCFB10250380,86.94,55.0,378.0,8314.42,Male,86.0,6.0,49.0,1.0,Carrier B,6.45,Supplier 2,Delhi,19.0,803.0,2.0,13.15,Fail,4.47,Air,Route_B,161.6
skincare,TPVCFB15250380,47.68,15.0,230.0,8439.87,Non-binary,49.0,12.0,64.0,1.0,Carrier A,8.8,Supplier 3,Chennai,17.0,332.0,26.0,91.84,Pending,3.34,Rail,Route_A,411.49
cosmetics,TPVCFB22070380,54.78,48.0,833.0,9127.84,Unknown,52.0,4.0,2.0,8.0,Carrier C,7.72,Supplier 4,Delhi,14.0,709.0,9.0,68.43,Pending,2.25,Rail,Route_C,837.98
haircare,LNB11101065000,60.23,92.0,699.0,3809.77,Non-binary,27.0,17.0,90.0,4.0,Carrier B,8.23,Supplier 3,Mumbai,6.0,416.0,22.0,54.11,Fail,3.52,Sea,Route_B,870.18
haircare,LNM11101271000,65.5,94.0,134.0,2193.8,Non-binary,47.0,1.0,65.0,9.0,Carrier C,5.16,Supplier 2,Kolkata,22.0,747.0,15.0,74.97,Pending,3.27,Road,Route_A,460.29
skincare,MN211132070310,40.16,16.0,954.0,6744.9,Female,99.0,29.0,40.0,7.0,Carrier A,8.3,Supplier 3,Delhi,15.0,459.0,13.0,41.09,Pending,2.19,Road,Route_B,536.13
haircare,VN400210650000,2.82,69.0,647.0,4987.53,Male,31.0,1.0,11.0,8.0,Carrier A,1.47,Supplier 1,Kolkata,11.0,108.0,5.0,76.24,Fail,4.43,Sea,Route_A,655.71
cosmetics,VCNV5600106500,8.17,20.0,331.0,9542.81,Female,87.0,28.0,31.0,2.0,Carrier C,5.65,Supplier 4,Chennai,14.0,525.0,19.0,70.2,Pass,0.66,Rail,Route_C,705.8
cosmetics,VN400313750000,53.89,34.0,776.0,8495.49,Non-binary,89.0,22.0,33.0,8.0,Carrier B,7.87,Supplier 5,Delhi,9.0,916.0,19.0,68.95,Pass,0.57,Rail,Route_C,261.04
skincare,VCNV5601127500,82.63,99.0,729.0,1990.57,Non-binary,22.0,14.0,46.0,3.0,Carrier C,6.57,Supplier 1,Chennai,21.0,690.0,20.0,85.23,Pass,4.81,Road,Route_B,523.86
haircare,PFCB1201830500,67.37,60.0,195.0,7730.15,Female,1.0,18.0,27.0,3.0,Carrier B,2.54,Supplier 5,Mumbai,11.0,202.0,21.0,40.32,Pending,4.73,Rail,Route_A,162.67
skincare,PFCB1222441000,89.73,66.0,157.0,2837.5,Non-binary,93.0,22.0,21.0,9.0,Carrier A,4.81,Supplier 1,Mumbai,10.0,413.0,5.0,78.7,Fail,0.75,Air,Route_B,292.91
skincare,VFLS6510124230,59.88,47.0,610.0,1381.08,Male,70.0,2.0,58.0,6.0,Carrier C,5.63,Supplier 5,Kolkata,1.0,346.0,16.0,77.09,Pass,2.12,Road,Route_B,523.93
haircare,TPVCRM32050440,62.04,73.0,226.0,6217.54,Male,37.0,7.0,5.0,9.0,Carrier A,2.54,Supplier 1,Chennai,26.0,333.0,26.0,32.12,Pass,0.93,Rail,Route_B,513.5
cosmetics,TPETD845125050,30.58,88.0,205.0,9538.7,Male,51.0,18.0,45.0,7.0,Carrier C,8.67,Supplier 5,Bangalore,7.0,743.0,12.0,77.3,Pending,0.65,Road,Route_C,333.65
haircare,LNM11101065000,48.96,30.0,516.0,5093.85,Male,61.0,9.0,20.0,7.0,Carrier B,1.81,Supplier 1,Delhi,26.0,137.0,23.0,25.56,Pass,4.92,Air,Route_A,388.53
skincare,VN201310610000,17.24,85.0,608.0,8504.13,Non-binary,74.0,14.0,67.0,5.0,Carrier A,6.31,Supplier 4,Mumbai,7.0,747.0,4.0,74.99,Pass,4.28,Air,Route_B,929.03
skincare,WVN56101375000,33.57,82.0,278.0,1598.75,Unknown,44.0,12.0,12.0,4.0,Carrier A,5.85,Supplier 1,Delhi,6.0,751.0,8.0,33.3,Pending,4.37,Air,Route_C,115.75
skincare,VIIV2600152500,54.71,94.0,25.0,4378.97,Male,71.0,23.0,77.0,2.0,Carrier A,5.07,Supplier 2,Chennai,22.0,143.0,13.0,25.09,Fail,4.68,Rail,Route_B,574.05
cosmetics,TPVCFM32050380,21.15,16.0,461.0,7220.91,Male,81.0,7.0,84.0,4.0,Carrier C,2.35,Supplier 3,Chennai,13.0,889.0,10.0,76.94,Pending,4.07,Air,Route_B,217.01
skincare,TPVCBB25050440,18.25,66.0,456.0,6570.92,Female,70.0,12.0,69.0,9.0,Carrier A,3.28,Supplier 3,Bangalore,8.0,157.0,10.0,15.26,Pending,1.83,Road,Route_A,925.71
cosmetics,TPVCFM32050440,54.79,20.0,49.0,9027.04,Female,83.0,12.0,76.0,1.0,Carrier A,2.17,Supplier 5,Delhi,20.0,865.0,21.0,84.57,Pass,4.63,Sea,Route_C,193.9
cosmetics,8519849,51.89,1.0,687.0,3754.46,Female,18.0,7.0,77.0,5.0,Carrier B,2.79,Supplier 5,Mumbai,26.0,770.0,20.0,61.27,Pending,0.16,Air,Route_A,101.29
haircare,VNIVR200112750,79.5,58.0,569.0,1497.0,Unknown,26.0,26.0,47.0,3.0,Carrier A,5.05,Supplier 5,Chennai,4.0,194.0,13.0,33.28,Pass,3.95,Air,Route_B,456.02
cosmetics,VNIVR200113750,65.85,25.0,559.0,9481.45,Male,77.0,17.0,44.0,1.0,Carrier C,1.2,Supplier 3,Chennai,9.0,592.0,14.0,52.13,Pass,2.65,Road,Route_B,997.13
haircare,PAI271012224401,83.76,99.0,753.0,2029.88,Male,97.0,27.0,96.0,6.0,Carrier C,4.75,Supplier 3,Mumbai,19.0,498.0,16.0,62.44,Pending,2.77,Road,Route_C,372.13
skincare,TSSK4AMARILLO0,66.6,91.0,736.0,1688.32,Male,80.0,6.0,90.0,2.0,Carrier A,9.61,Supplier 3,Mumbai,6.0,242.0,2.0,43.6,Pending,3.85,Sea,Route_B,956.63
skincare,CORTALASER1325,31.9,91.0,277.0,1887.25,Male,26.0,18.0,55.0,2.0,Carrier A,9.11,Supplier 1,Delhi,20.0,360.0,5.0,39.29,Fail,2.73,Sea,Route_C,569.8
skincare,3MGM0130WI,60.27,72.0,574.0,5306.47,Female,29.0,10.0,29.0,8.0,Carrier C,4.93,Supplier 5,Kolkata,26.0,109.0,4.0,78.55,Fail,4.29,Sea,Route_C,361.91
cosmetics,3MXP0760WI,86.56,84.0,331.0,7886.44,Non-binary,90.0,9.0,23.0,7.0,Carrier B,3.08,Supplier 3,Bangalore,29.0,900.0,6.0,13.26,Pending,1.86,Road,Route_C,801.68
skincare,3MXP4060WI,23.88,19.0,492.0,6036.21,Female,97.0,6.0,32.0,9.0,Carrier B,2.67,Supplier 5,Delhi,15.0,896.0,9.0,81.24,Fail,3.87,Rail,Route_B,683.28
skincare,3MXP4180WI,6.12,47.0,582.0,7183.35,Unknown,74.0,4.0,61.0,8.0,Carrier B,9.8,Supplier 2,Delhi,19.0,730.0,28.0,95.99,Pass,1.22,Rail,Route_C,876.76
cosmetics,3MXP4520WI,11.23,36.0,252.0,7286.78,Female,76.0,4.0,70.0,3.0,Carrier C,4.82,Supplier 1,Bangalore,12.0,350.0,27.0,70.66,Pending,4.53,Air,Route_A,119.77
haircare,3TBH0400WI,40.34,30.0,832.0,9129.68,Unknown,41.0,8.0,84.0,7.0,Carrier B,9.75,Supplier 3,Delhi,17.0,801.0,21.0,15.22,Pass,4.45,Rail,Route_C,809.98
haircare,3TBH1600WI,68.91,64.0,90.0,8360.71,Male,15.0,22.0,68.0,2.0,Carrier C,7.6,Supplier 4,Bangalore,28.0,735.0,28.0,14.75,Pass,0.43,Rail,Route_C,831.12
cosmetics,3MGP0140WI,26.17,75.0,601.0,4624.98,Non-binary,64.0,8.0,11.0,5.0,Carrier B,2.67,Supplier 3,Bangalore,13.0,724.0,9.0,53.32,Pass,4.87,Rail,Route_A,528.83
haircare,3TBH0040WI,53.69,59.0,983.0,7674.42,Male,2.0,14.0,90.0,8.0,Carrier B,7.19,Supplier 2,Chennai,16.0,345.0,4.0,63.32,Pending,0.4,Road,Route_B,874.94
skincare,1VMG0040GE,16.46,86.0,883.0,6434.66,Unknown,63.0,3.0,12.0,9.0,Carrier A,2.41,Supplier 4,Bangalore,10.0,830.0,16.0,23.22,Pending,1.64,Rail,Route_C,654.68
haircare,1VGF0050GE,25.17,12.0,245.0,4037.32,Female,38.0,20.0,6.0,9.0,Carrier A,9.19,Supplier 2,Mumbai,6.0,955.0,25.0,43.79,Pending,2.23,Sea,Route_A,657.48
cosmetics,1VBS0580GE,82.86,20.0,478.0,6300.4,Non-binary,2.0,3.0,61.0,9.0,Carrier B,8.9,Supplier 3,Chennai,6.0,576.0,26.0,46.05,Pending,4.43,Road,Route_A,732.08
skincare,1VRT0400GE,11.8,96.0,754.0,9536.53,Non-binary,75.0,25.0,79.0,5.0,Carrier C,1.82,Supplier 3,Chennai,13.0,291.0,11.0,56.5,Pending,4.78,Rail,Route_C,175.95
haircare,3300,65.4,65.0,854.0,9501.99,Male,85.0,21.0,26.0,5.0,Carrier A,6.83,Supplier 1,Delhi,26.0,639.0,1.0,30.26,Fail,2.17,Air,Route_C,455.46
haircare,250H,44.38,87.0,44.0,8072.31,Female,55.0,13.0,71.0,5.0,Carrier A,7.12,Supplier 4,Mumbai,2.0,176.0,26.0,57.48,Fail,4.38,Sea,Route_C,756.41
skincare,060700092,87.91,40.0,421.0,1057.92,Female,24.0,10.0,31.0,8.0,Carrier C,6.34,Supplier 2,Chennai,22.0,983.0,16.0,28.71,Fail,2.48,Sea,Route_B,688.09
haircare,1590,33.51,15.0,156.0,7336.75,Unknown,45.0,13.0,17.0,4.0,Carrier C,8.94,Supplier 2,Kolkata,17.0,748.0,11.0,96.39,Fail,2.62,Road,Route_C,235.12
cosmetics,2506-W,55.3,22.0,728.0,7069.6,Male,49.0,26.0,63.0,6.0,Carrier C,5.03,Supplier 3,Chennai,25.0,216.0,6.0,40.61,Pass,0.76,Road,Route_B,285.61
haircare,AN0487,95.2,28.0,155.0,8676.84,Female,15.0,11.0,64.0,4.0,Carrier C,1.55,Supplier 2,Mumbai,4.0,268.0,28.0,69.97,Fail,2.62,Road,Route_A,821.31
cosmetics,1535,81.56,76.0,451.0,8164.07,Male,90.0,13.0,54.0,8.0,Carrier A,8.97,Supplier 4,Delhi,12.0,816.0,22.0,77.96,Pending,3.27,Rail,Route_A,934.11
cosmetics,1514,11.78,45.0,876.0,7783.61,Unknown,52.0,2.0,86.0,2.0,Carrier C,2.99,Supplier 1,Chennai,23.0,909.0,3.0,82.34,Fail,1.54,Rail,Route_A,509.82
skincare,2540-C,25.36,66.0,10.0,5191.14,Non-binary,26.0,20.0,53.0,4.0,Carrier B,8.86,Supplier 2,Bangalore,5.0,976.0,24.0,20.25,Pass,4.25,Sea,Route_A,722.87
skincare,AN5005-2A3,74.94,55.0,760.0,9301.31,Unknown,49.0,16.0,11.0,1.0,Carrier A,8.63,Supplier 3,Chennai,11.0,112.0,5.0,95.83,Fail,2.67,Rail,Route_C,663.84
skincare,5024,82.42,87.0,546.0,2798.57,Female,53.0,7.0,94.0,6.0,Carrier C,9.17,Supplier 5,Kolkata,28.0,882.0,16.0,56.59,Pass,3.61,Air,Route_A,822.72
cosmetics,5023,89.77,6.0,129.0,6116.18,Unknown,66.0,17.0,19.0,2.0,Carrier B,5.89,Supplier 5,Bangalore,25.0,319.0,12.0,98.06,Fail,2.34,Sea,Route_C,819.56
cosmetics,2TFD0040AY,20.26,6.0,980.0,4292.97,Female,49.0,14.0,29.0,9.0,Carrier C,8.75,Supplier 1,Delhi,7.0,231.0,21.0,89.77,Pass,2.06,Rail,Route_A,306.46
haircare,2TFD0050AY,17.47,90.0,404.0,3862.45,Unknown,56.0,6.0,26.0,6.0,Carrier C,2.39,Supplier 1,Chennai,28.0,325.0,7.0,34.43,Fail,0.92,Rail,Route_C,265.07
skincare,2TFD0180AY,67.34,83.0,675.0,1787.94,Male,49.0,22.0,15.0,6.0,Carrier A,7.19,Supplier 2,Bangalore,14.0,321.0,14.0,87.75,Fail,4.26,Rail,Route_A,813.99
cosmetics,1VCT0440GE,72.05,40.0,858.0,3643.98,Non-binary,52.0,17.0,23.0,6.0,Carrier B,9.2,Supplier 5,Mumbai,12.0,920.0,17.0,90.11,Pending,0.7,Sea,Route_B,167.89
